,POM121B,MTCO2P11,MTCO1P11,SMG1P6,AC008443.5,RPS10P16,MTCO3P11,VN1R83P,CICP5,AC005682.1,AL022345.3,SEC22B2P,ASLP1,AC094019.2,AL117340.1,OR7E7P,FRG1KP,GUSBP15,PDIA3P2,AC008267.3,AL109840.1,UNC93B8,MTCO1P12,ARHGEF34P,FO538757.1,ENPP7P5,BLZF2P,MTND5P14,AC145285.4,DDX12P,AL353807.3,AL031432.2,AC093162.1,PKD1P1,TMSB4XP2,MTATP6P11,TREML5P,AC099654.2,AL157893.1,AL353743.4,PSPC1P1,AP005018.2,IDSP1,KRT128P,AGAP10P,MSTO2P,Diagnosis
RNA29_FPKM,0.773124875,0.0,0.0,0.527454807,10.47079919,0.0,0.665565281,0.826882067,0.0,0.25082653,0.0,6.42182227,1.732947503,0.0,0.058826942,1.018078118,0.863255179,1.056351732,1.397326025,0.103360258,0.411131307,0.0,95.24802642,0.0,0.258219312,0.071379732,0.0,0.0,0.203857352,2.122674164,0.440673677,10.42176845,6.690339796,1.535690294,0.0,0.0,0.0,0.148671725,0.0,0.808708835,0.0,14.86213079,4.110219637,0.0,9.64821195,2.282318123,0
RNA295_FPKM,1.29851027,0.0,0.04383668,0.365628445,2.721621517,0.405012552,0.432545225,0.300907368,0.090693556,0.273831858,0.0,7.595264763,0.315362992,0.283694446,0.107037393,0.529263947,0.392679703,1.281375872,2.118924078,0.37613421,0.374203615,0.759737751,127.0535099,0.118185153,0.352431975,0.064968426,0.059276502,0.369924059,0.185546945,3.453381399,0.133648704,9.189807876,9.035091625,5.086792667,0.318964033,0.599569158,2.092352644,0.0,0.414562782,0.432785322,0.201359066,13.11400553,5.342068603,0.055772229,6.867163745,5.014750453,0
RNA3_FPKM,0.992200848,0.0,0.185408162,0.934849652,4.223419983,0.380930623,0.976301866,1.273519225,0.25585375,0.386309513,0.0,8.406687806,1.037969937,0.0,0.0,1.026641616,0.554080906,1.807793407,2.988894055,0.530582115,0.0,0.268002254,94.02213705,0.22925007,0.165738236,0.091630257,0.167204946,0.670891655,0.261691952,3.525488007,0.452467908,7.819453612,13.55040443,5.954338559,0.449860926,0.845844858,0.0,0.381645275,0.87710115,0.366332292,0.0,9.537038036,3.5166622,0.078660112,7.031081687,4.310825047,0
RNA302_FPKM,0.90931144,0.220624834,0.0,0.844918736,2.744474564,0.151292732,0.387661207,0.0,0.135462652,0.102266453,0.0,6.677052153,0.588839826,0.0,0.179908938,0.148245936,0.43995568,0.17952439,2.373993474,0.210709111,0.419224553,0.851286597,84.69339732,0.049661536,0.658054331,0.0,0.132765387,0.177637002,0.0,1.756460764,0.53905748,5.066638362,6.926395732,2.932382446,0.357339023,0.223917742,0.781479451,0.227339477,0.464473334,0.0,0.225601334,8.578764862,3.990329456,0.062482261,6.763431656,3.379982107,0
RNA303_FPKM,0.304023247,0.0,0.0,0.950232288,1.835372003,0.0,0.0,0.0,0.0,0.46163499,0.0,2.626496597,1.653816385,0.0,0.18042927,0.0,0.0,0.0,2.381408273,0.422785817,1.681695539,1.280855356,358.340576,0.0,2.376205368,0.218930181,0.0,0.059383588,0.416836596,2.119300895,0.270346718,2.131246256,2.672127242,2.985573227,1.791726225,0.0,0.0,0.075998996,0.232938098,0.437762463,0.0,14.64670375,7.804943125,0.062646966,6.75299985,2.773901222,1
RNA31_FPKM,0.806420506,0.366907052,0.0,0.596038893,2.366274179,2.179631127,0.0,0.74743068,0.150161017,0.113362867,0.729400554,6.095615902,1.175024154,0.0,0.0,0.986070721,0.975386078,0.795709696,1.052552699,0.817561023,0.464767983,0.471782486,51.95586666,0.0,0.583520443,0.0,0.147171085,0.393838667,0.460674034,1.495616432,0.66395229,6.160111099,10.27709179,3.030730465,0.396159376,0.372383277,0.721875211,0.29399164,0.772435899,0.376278893,0.0,13.86028887,5.308220083,0.0,8.18549238,3.795542559,1
RNA314_FPKM,0.726050595,0.41724651,0.18568562,0.548722287,0.0,0.381286625,0.0,0.0,0.170806812,0.451305191,0.0,5.44677818,1.336236862,0.0,0.226800661,0.280363268,0.0,2.036322682,2.394538531,0.796987716,0.528544474,0.268252718,177.8737685,0.18781617,4.4799099,0.091764754,0.0,0.447873129,0.0,2.342746016,0.377561813,7.21159491,4.83626637,4.850406201,0.0,0.28226592,0.164252536,0.0,1.756827412,0.0,0.0,16.91320404,5.533784176,0.0,4.732719,4.537890808,1
RNA319_FPKM,0.341303382,0.225821597,0.0,1.25800147,1.560866927,0.0,0.0,0.172537849,0.03466336,0.418753437,0.0,6.566707939,0.361598161,0.162668099,0.12274875,0.531158053,0.0,1.285961603,4.373991365,0.323508467,0.428934876,0.544642928,156.9164044,0.101666506,2.15547822,0.0,0.0,0.181797971,0.21268516,3.595913424,0.367866353,2.676737659,3.708636941,3.71259828,0.0,0.114596034,0.933215191,0.0,0.0,0.397098444,0.230915317,14.76030823,3.063412879,0.255781783,4.731961428,3.504802423,0
RNA32_FPKM,1.165164506,0.73122368,0.715898167,1.730910222,13.74396038,0.200460068,1.156259531,1.117375511,0.0,0.0,0.0,10.4127606,0.936672364,0.210652952,0.079478972,0.098249203,0.87473484,1.189550485,1.887877092,0.279292678,0.0,0.423098696,60.96683731,0.197472391,0.348870854,0.385842783,0.263968655,0.706349547,0.550848718,1.147273245,0.436683592,8.665957626,22.74165681,3.799395236,0.0,0.445200867,1.726342136,0.100432519,0.307827225,1.157065862,0.0,7.016612456,6.347449958,0.165575676,11.80306466,4.36402399,1
RNA328_FPKM,0.964475211,0.468076388,0.364498813,1.059091636,6.145343072,0.320782583,1.130808953,2.503334816,0.071832127,0.433884299,0.0,6.665403948,0.374784715,0.0,0.190837621,0.943478468,0.466592848,1.903569495,3.021519652,0.447039247,0.444436204,0.67716327,150.9883554,0.052678258,0.279137125,0.077162057,0.140803682,0.06278933,0.0,1.592983574,0.349399653,5.373922064,17.970585,4.525025469,0.0,0.356325169,2.762819615,0.321468821,0.739126512,0.205747863,0.0,16.4556423,16.50605582,0.0,13.49166446,3.864320077,0
RNA331_FPKM,0.704889532,0.410542599,0.137014489,0.619253386,0.56726549,0.562840659,0.180293683,0.470467728,0.094518347,0.380547776,0.306187843,5.236911736,1.533720354,0.295651082,0.278901238,1.172270755,0.204723836,2.170260855,1.325051511,0.882126989,0.390004627,0.197939448,63.22694926,0.046195529,2.081294744,0.0,0.0,0.055099312,0.193381796,5.233277368,0.585032723,9.274290321,5.15458074,4.7685403,0.332432515,0.0,0.242269636,0.07047844,1.51246782,0.451073625,0.104978689,18.76212701,2.598350706,0.058127251,2.193389415,5.471712536,0
RNA334_FPKM,0.529810051,0.101454495,0.090345418,0.800864793,0.0,0.556644352,0.089133148,1.085690908,0.031146301,0.329333643,0.0,3.011088288,0.325018612,0.0,0.055147128,0.477403611,0.202313949,1.485910448,1.310359847,0.387774717,0.385413724,0.48948178,153.5065109,0.060921359,0.0,0.066914701,0.183218456,0.0,0.0,2.576061538,0.578573923,4.811516434,3.333144663,2.991845238,0.0,0.0,0.239666318,0.034842958,1.068373545,0.267662386,0.207590675,17.46369742,2.019038209,0.172387057,4.281332054,3.917212915,0
RNA335_FPKM,0.801107213,0.662718269,0.0,0.615187634,0.0,1.090164825,0.232868972,1.012693086,0.203453013,0.552917241,0.395470414,2.83116786,1.414908707,0.76373129,0.648384966,0.534310033,0.264420101,2.587410121,2.281526385,0.759440665,0.0,0.127896815,71.90194515,0.03977065,2.371669027,0.0,0.0,0.0,0.0,3.669865129,0.35979914,7.068667468,5.248816464,4.688385294,0.429367878,0.134577992,0.0,0.0,1.674061155,0.291304734,0.0,18.74873753,1.438089769,0.375227663,2.720928035,6.644712865,1
