,hsa-let-7a-5p,hsa-let-7b-3p,hsa-let-7c-5p,hsa-miR-106b-5p,hsa-miR-10a-5p,hsa-miR-1178-3p,hsa-miR-1183,hsa-miR-1207-3p,hsa-miR-1224-3p,hsa-miR-1226-5p,hsa-miR-1231,hsa-miR-1257,hsa-miR-125a-3p,hsa-miR-1263,hsa-miR-1271-5p,hsa-miR-1278,hsa-miR-128-2-5p,hsa-miR-1281,hsa-miR-1297,hsa-miR-1298-5p,hsa-miR-1302,hsa-miR-153-3p,hsa-miR-1537-3p,hsa-miR-155-3p,hsa-miR-186-5p,hsa-miR-1913,hsa-miR-192-5p,hsa-miR-196a-5p,hsa-miR-197-3p,hsa-miR-200b-5p,hsa-miR-2115-3p,hsa-miR-212-3p,hsa-miR-217,hsa-miR-26a-5p,hsa-miR-29a-3p,hsa-miR-300,hsa-miR-30c-5p,hsa-miR-3135b,hsa-miR-3150b-3p,hsa-miR-3173-3p,hsa-miR-3184-5p,hsa-miR-3185,hsa-miR-3681-5p,hsa-miR-369-3p,hsa-miR-378g,hsa-miR-383-3p,hsa-miR-3942-5p,hsa-miR-423-3p,hsa-miR-4433-5p,hsa-miR-4464,hsa-miR-4474-5p,hsa-miR-4500,hsa-miR-4509,hsa-miR-4515,hsa-miR-4517,hsa-miR-4646-3p,hsa-miR-4652-5p,hsa-miR-4659a-5p,hsa-miR-4662a-3p,hsa-miR-4664-3p,hsa-miR-4694-5p,hsa-miR-4709-3p,hsa-miR-4728-5p,hsa-miR-4745-5p,hsa-miR-4746-5p,hsa-miR-4766-3p,hsa-miR-4788,hsa-miR-4798-5p,hsa-miR-484,hsa-miR-489-5p,hsa-miR-495-3p,hsa-miR-5002-5p,hsa-miR-5004-3p,hsa-miR-5008-5p,hsa-miR-500a-5p,hsa-miR-500b-3p,hsa-miR-502-5p,hsa-miR-509-5p,hsa-miR-5096,hsa-miR-5100,hsa-miR-518c-3p,hsa-miR-518e-5p,hsa-miR-518f-3p,hsa-miR-5194,hsa-miR-519c-5p,hsa-miR-520c-3p,hsa-miR-545-3p,hsa-miR-548ac,hsa-miR-548ah-5p,hsa-miR-548am-3p,hsa-miR-548m,hsa-miR-548s,hsa-miR-561-5p,hsa-miR-5690,hsa-miR-571,hsa-miR-579-5p,hsa-miR-605-3p,hsa-miR-6128,hsa-miR-622,hsa-miR-6511a-5p,hsa-miR-658,hsa-miR-665,hsa-miR-6732-5p,hsa-miR-6741-5p,hsa-miR-6764-5p,hsa-miR-6769a-3p,hsa-miR-6774-5p,hsa-miR-6821-3p,hsa-miR-6846-3p,hsa-miR-6849-5p,hsa-miR-6859-5p,hsa-miR-6861-3p,hsa-miR-6862-5p,hsa-miR-6868-3p,hsa-miR-6874-5p,hsa-miR-6883-3p,hsa-miR-7106-5p,hsa-miR-7157-5p,hsa-miR-769-5p,hsa-miR-7704,hsa-miR-7854-3p,hsa-miR-8077,hsa-miR-873-5p,hsa-miR-877-3p,hsa-miR-887-3p,hsa-miR-921,hsa-miR-92a-3p,hsa-miR-93-3p,hsa-miR-940,hsa-miR-95-3p,Diagnosis
sample_56,1310055.5,448.0,103765.5,144.0,140.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,230.0,0.0,214.33,14.0,0.0,0.0,5.0,4.0,0.0,771.0,4.0,0.0,5185.25,0.0,34590.5,14.0,916.0,16.0,6.5,87.5,1759.0,369774.32,217018.75,0.0,56956.0,0.0,3.5,2.0,1183.0,0.0,3.0,755.5,3.33,18.0,4.0,1183.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,8.5,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,21.0,903.67,0.0,182.0,1.0,0.0,0.0,27.58,10.0,5.33,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.67,2.0,0.0,2.0,0.0,4.5,0.0,2.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.5,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,1.0,1.0,25.0,0.0,1.0,3160.67,5.0,0.0,0.0,459.67,10.5,211.0,0.0,17262.66,130.0,3.0,9570.67,1
sample_57,1104968.79,1227.25,92659.0,340.5,6.0,0.0,0.0,0.0,72.5,0.0,0.0,0.0,307.25,0.0,273.0,31.0,0.0,0.0,6.17,6.0,0.0,2293.0,13.0,0.0,16353.83,0.0,84059.42,8.0,1116.83,17.0,8.5,103.0,2364.5,490719.82,452959.25,0.0,159639.91,0.0,5.0,0.0,1170.62,0.0,5.0,1946.83,4.75,44.0,3.0,1170.62,0.0,0.0,0.0,34.17,0.0,0.0,0.0,2.5,0.0,0.5,5.0,3.0,1.0,5.0,0.0,0.0,5.0,11.0,0.5,35.5,372.0,0.0,228.0,0.0,0.0,0.0,49.33,16.0,10.0,0.0,0.0,0.25,8.5,0.0,2.5,2.0,0.0,0.67,7.33,0.0,0.0,0.0,14.08,1.0,13.5,6.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,17.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,39.0,0.0,4.0,5670.0,1.67,1.0,0.0,1266.33,20.33,367.0,0.0,22627.34,211.0,2.0,20119.0,1
sample_58,1474627.31,424.25,144728.08,355.0,23.0,0.0,0.0,0.0,29.33,0.0,0.0,0.0,223.0,0.0,406.67,13.0,2.0,0.0,4.5,17.0,0.0,915.16,17.0,0.0,6180.83,2.0,40979.83,35.16,1443.5,12.0,4.0,147.5,2864.33,740705.16,205150.25,0.0,60244.34,0.0,1.0,5.0,3994.37,0.0,1.0,1489.83,15.75,6.0,4.0,3994.37,0.0,0.0,0.0,26.08,0.0,1.0,0.0,13.5,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,37.0,4515.25,0.0,474.0,2.0,0.0,0.0,93.75,13.5,23.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,1.83,0.0,3.0,0.0,4.0,2.0,4.0,6.0,0.0,7.0,0.0,0.0,0.0,0.0,0.5,4.0,0.0,1.5,7.0,0.0,0.0,1.0,0.0,0.0,0.0,3.33,0.0,60.33,1.0,68.5,0.0,1.0,3252.5,14.0,2.0,0.0,395.33,33.25,203.0,0.0,63088.34,256.0,1.0,9397.75,1
sample_59,1451569.61,594.5,162802.5,675.5,26.0,1.0,0.0,0.0,28.5,1.0,0.0,0.0,303.0,0.0,482.17,32.0,2.0,0.0,4.08,15.0,0.0,1219.16,21.0,0.0,11291.0,0.0,49564.58,22.0,1617.0,12.0,14.0,282.5,5952.83,984079.48,354448.0,0.0,105114.5,0.0,4.0,12.0,2499.08,0.0,4.0,1940.0,10.75,14.0,2.0,2499.08,0.5,0.0,0.0,1.33,0.0,1.0,0.0,17.83,0.0,0.25,3.0,2.0,0.0,0.0,0.0,0.0,2.0,8.5,0.0,24.0,4133.25,1.0,564.0,1.0,0.0,0.0,158.83,9.5,22.33,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.33,5.33,0.0,2.5,0.0,8.0,0.0,6.0,3.0,0.0,18.0,3.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,66.83,1.0,44.0,0.0,2.0,6852.83,10.33,2.0,0.0,777.17,32.0,397.0,0.0,53882.34,435.0,1.0,11709.0,1
sample_60,1335679.22,1198.0,108961.92,282.0,16.0,0.0,0.0,0.0,35.5,0.0,0.0,0.0,277.83,0.0,270.5,60.0,1.0,0.0,4.5,6.0,0.0,3054.84,11.0,0.0,16310.08,1.0,82252.08,14.0,811.75,9.0,14.0,103.5,2461.5,492615.48,484901.33,0.0,161667.66,0.0,3.5,2.0,1059.67,0.0,6.0,1934.5,4.83,15.0,5.0,1059.67,1.0,0.0,0.0,0.33,0.0,0.0,0.0,5.5,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,5.0,5.0,0.0,39.0,347.5,0.0,232.0,0.0,1.0,0.0,41.5,16.5,16.0,0.0,0.0,0.33,26.0,0.25,2.5,0.0,0.25,2.0,7.5,1.0,1.33,0.0,18.5,1.0,11.5,6.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,5.5,20.0,1.5,0.0,1.0,0.0,0.0,0.0,0.5,1.0,78.33,1.0,32.0,0.0,2.0,5682.08,3.67,0.0,0.0,879.67,16.0,360.0,0.0,23178.84,179.5,0.0,24445.42,1
sample_61,985183.4,1022.5,86326.17,364.92,24.0,0.0,0.0,0.0,33.5,0.0,0.0,0.0,312.08,0.0,336.5,25.25,1.0,0.0,4.92,5.0,0.0,3364.34,14.0,0.0,16550.75,0.0,60204.42,115.0,1129.5,9.0,9.5,66.0,1619.5,498263.66,381181.75,0.0,116369.16,0.0,3.0,0.0,937.25,0.0,2.0,1514.75,5.25,44.0,3.0,937.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.5,0.0,2.0,3.0,2.0,0.0,5.0,0.0,0.0,2.0,12.0,0.5,37.0,356.17,0.0,184.0,0.0,0.0,0.0,48.33,11.0,18.33,1.0,0.0,0.0,4.5,0.0,4.5,1.0,0.0,0.67,4.83,0.0,2.0,0.0,10.5,0.0,16.5,4.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,13.67,0.0,0.0,9.0,2.0,0.0,3.0,2.0,0.0,0.0,4.5,1.0,117.0,0.0,21.0,0.0,2.0,2992.67,3.67,0.0,0.0,969.67,10.5,408.0,0.0,13308.66,182.0,2.0,16388.25,1
sample_62,2234116.69,1298.25,227063.58,962.0,379.0,0.0,0.0,0.0,32.5,0.0,0.0,0.0,491.25,0.0,912.17,55.0,1.0,0.0,8.58,15.0,2.0,2544.16,35.0,0.0,21933.58,1.0,106888.58,39.5,1961.0,43.0,12.0,175.5,7077.33,1301247.14,664805.5,0.0,191776.34,0.0,4.5,5.0,4637.21,0.0,3.0,7409.5,28.17,33.0,7.0,4634.37,1.0,0.0,0.0,1.67,0.0,1.0,0.0,5.0,0.0,2.0,3.0,3.0,0.0,7.0,0.0,0.0,1.0,18.0,1.0,64.0,5341.5,0.0,722.0,2.0,0.0,0.0,205.42,15.5,50.58,0.0,0.0,0.25,17.5,0.0,11.0,0.0,0.0,0.67,8.75,0.0,6.0,0.0,21.0,3.0,15.0,17.0,0.0,18.0,1.0,0.25,0.0,0.0,0.5,9.33,0.0,0.0,36.5,1.0,1.0,1.0,2.0,1.0,0.0,4.5,2.0,1.0,1.0,57.0,0.0,3.0,8483.08,7.67,2.0,0.0,1147.83,21.5,618.0,0.0,89474.66,505.5,4.0,23711.08,1
sample_63,1790417.32,1019.0,161597.08,469.0,65.0,0.0,0.0,0.0,121.5,0.0,0.0,0.0,656.75,0.0,476.0,22.0,2.0,0.0,7.58,15.0,0.0,3657.5,4.0,0.0,15210.33,0.0,72288.5,274.0,1635.5,9.0,10.0,138.5,3983.5,825674.48,588871.17,0.0,135393.41,0.0,3.0,1.0,1818.33,0.0,6.0,2732.5,3.25,68.0,6.0,1815.33,0.0,0.0,0.0,2.25,0.0,1.0,0.0,9.75,0.0,0.0,5.0,1.0,1.0,5.5,0.0,0.0,2.0,4.0,0.5,38.0,1577.67,0.0,494.0,0.0,1.0,0.0,89.17,17.0,21.0,1.0,0.0,0.0,23.0,0.0,8.0,1.0,0.0,1.33,5.67,0.0,2.0,0.0,10.5,0.0,22.5,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,19.0,1.0,0.0,1.0,2.0,0.0,0.0,2.5,0.0,1.0,1.0,32.0,0.0,6.0,9061.67,7.0,1.0,0.0,2321.67,24.5,628.0,0.0,19473.66,276.0,3.0,23234.08,1
sample_64,968845.91,946.5,90085.92,371.0,39.0,0.0,0.0,0.0,27.0,0.0,1.0,0.0,244.67,0.0,238.0,19.0,2.0,0.0,12.08,3.0,0.0,1268.84,8.0,0.0,10552.25,0.0,43438.75,74.5,756.5,5.0,13.5,73.0,1903.0,432294.82,302143.42,0.0,103282.5,0.0,1.5,0.0,737.29,0.0,5.0,1208.0,4.83,24.0,0.0,737.29,0.0,0.0,0.0,1.33,0.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,17.0,385.42,0.0,244.0,0.0,0.0,0.0,42.5,6.0,22.0,0.0,0.0,0.0,11.0,0.0,3.0,0.0,0.0,0.67,9.33,0.0,1.0,0.0,7.0,1.0,10.5,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,7.33,0.0,3.5,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,1.0,17.0,0.0,4.0,3881.83,1.67,0.0,0.0,1153.25,12.75,277.0,0.0,13901.0,149.0,1.0,11248.42,1
sample_65,1565912.63,1815.5,138807.33,494.33,104.0,0.0,0.0,0.0,107.25,0.0,0.0,0.0,498.0,0.0,305.5,36.0,0.0,0.0,12.42,4.0,1.0,5176.84,22.5,0.0,21874.67,0.0,85743.42,59.5,1337.0,15.5,21.0,149.5,2454.5,759803.3,597618.58,0.0,225268.34,0.0,3.5,0.0,1268.0,0.0,2.0,2739.5,3.5,56.5,3.0,1268.0,1.0,0.0,0.0,0.67,0.0,0.0,0.0,11.5,0.0,1.5,3.0,4.0,0.0,2.0,0.0,0.0,1.0,4.0,0.0,46.0,528.5,0.0,352.0,0.0,1.0,0.0,82.83,14.0,23.33,2.0,0.0,0.25,36.33,0.0,15.33,1.0,0.0,2.0,12.17,0.0,4.0,0.0,16.5,2.25,31.5,8.0,0.0,8.0,1.0,0.0,0.0,0.0,3.0,12.33,0.0,0.0,19.0,0.0,0.0,2.0,2.0,1.0,0.0,0.5,0.0,1.0,0.0,43.0,0.0,3.0,6686.33,5.33,2.0,0.0,1778.25,24.75,682.0,0.0,21177.34,253.0,0.0,24123.5,1
sample_66,1288898.64,1205.0,126066.58,405.83,11.0,0.0,0.0,0.0,42.5,0.0,0.0,0.0,378.0,0.0,258.83,33.0,2.0,0.0,5.92,15.0,0.0,4301.0,15.0,0.0,19007.67,0.0,76570.5,32.5,896.83,12.0,12.0,133.5,2941.0,665104.48,574820.42,0.0,178223.25,0.0,3.5,0.0,776.75,0.0,7.0,2582.5,2.5,43.0,3.0,776.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.33,0.0,0.0,3.0,3.0,1.0,6.0,0.0,0.0,1.0,3.5,0.0,28.0,496.25,0.0,296.0,1.0,0.0,0.0,56.58,11.0,20.0,2.0,0.0,0.0,20.5,0.0,8.5,0.0,0.0,0.67,8.5,0.0,3.0,0.0,11.0,1.0,23.5,2.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,11.58,0.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,38.0,0.0,2.0,6203.33,2.67,2.0,0.0,1693.67,15.5,467.0,0.0,14586.16,180.0,0.0,19645.33,1
sample_67,1680546.84,547.25,198004.92,359.33,18.0,0.0,0.0,0.0,54.5,0.0,0.5,0.0,525.08,0.0,767.5,12.0,5.0,0.0,8.08,24.0,0.0,1172.5,9.0,0.0,10132.67,3.0,49820.67,53.5,2720.0,11.0,14.0,136.0,7154.67,1244477.32,268267.67,0.0,78987.84,0.0,4.0,4.0,4583.58,0.0,4.0,1681.5,15.67,16.0,8.0,4583.58,0.0,0.0,0.0,1.25,0.0,1.0,0.0,13.0,0.0,0.5,0.0,3.0,0.0,1.0,0.0,0.0,3.0,5.0,0.0,48.0,3727.92,0.0,459.0,3.0,0.0,0.0,194.25,19.5,38.0,1.0,0.0,0.0,3.0,0.0,4.0,2.0,0.0,0.33,0.5,1.0,3.5,0.0,6.5,0.0,8.0,3.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,8.67,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,4.5,2.0,148.5,0.0,53.0,0.0,4.0,7106.83,8.67,1.0,0.0,793.67,22.0,515.0,0.0,54735.16,576.0,5.0,14373.42,1
sample_68,987628.61,1260.25,92468.92,220.0,7.0,0.0,0.0,0.0,82.0,0.0,5.0,0.0,383.5,0.0,226.5,21.0,1.0,0.0,4.83,6.0,1.0,2998.0,8.0,0.0,10102.08,0.25,68848.33,99.0,942.5,8.0,12.0,66.5,1776.0,449262.98,357278.58,0.0,131292.66,0.0,2.0,0.0,920.75,0.0,2.0,1883.5,3.08,39.0,0.0,920.75,0.5,0.0,0.0,0.33,0.0,1.0,0.0,9.33,0.0,1.0,1.0,4.0,0.0,10.5,0.0,0.0,2.0,6.0,0.0,18.0,388.0,0.0,242.0,0.0,0.0,0.0,52.0,10.0,19.0,3.0,0.0,0.0,20.0,0.0,4.0,1.0,0.0,1.0,2.83,0.0,2.0,0.0,13.5,1.0,15.5,6.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,3.5,19.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,2.0,0.0,16.0,0.0,2.0,4629.83,2.33,0.0,0.0,973.5,18.5,470.0,0.0,10974.0,161.0,1.0,14424.67,1
sample_69,1402234.46,1509.75,133068.5,305.5,55.0,1.0,0.0,0.0,107.0,0.0,1.0,0.0,416.83,0.0,278.83,34.5,1.0,0.0,4.0,14.0,0.0,4405.84,8.0,0.0,16381.75,2.0,85879.67,21.5,1126.0,17.0,8.0,90.0,3007.0,601588.65,459585.25,0.0,155633.16,0.0,2.0,0.0,975.42,0.0,5.5,2257.0,4.25,36.0,0.0,975.42,0.0,0.0,1.0,0.67,0.0,0.0,0.0,7.5,0.0,0.5,1.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,0.0,50.0,534.0,0.0,253.0,0.0,1.0,0.0,62.33,15.0,6.0,1.0,0.0,0.0,17.0,0.0,3.5,2.0,0.0,0.0,9.0,0.0,1.0,0.0,4.33,1.0,13.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,8.33,0.0,1.5,15.0,1.0,0.0,1.0,0.0,0.0,0.0,1.5,1.0,147.17,2.0,22.0,0.0,5.0,4953.33,6.0,1.0,0.0,1801.08,12.0,465.0,0.0,16324.66,183.5,0.0,21268.33,1
sample_70,1365902.08,1268.25,90272.17,365.5,9.0,0.0,0.0,0.0,110.75,0.0,3.0,0.0,386.58,0.0,277.33,31.0,2.0,0.0,9.0,6.0,2.0,4869.5,11.0,0.0,17333.58,0.0,93099.08,11.0,1009.0,4.5,12.0,72.0,2565.0,662197.48,555213.92,0.0,187585.0,0.0,3.0,0.0,918.5,0.0,5.0,2351.5,3.25,34.0,3.0,918.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,0.5,0.0,1.0,0.0,4.0,0.0,0.0,2.0,9.5,0.5,35.5,482.67,1.0,370.0,0.0,0.0,0.0,62.0,10.0,22.0,1.0,0.0,0.0,14.0,0.0,9.0,1.0,0.0,1.0,4.0,0.0,2.0,0.0,9.0,0.0,15.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,16.33,0.0,0.0,10.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,167.33,2.0,17.5,0.0,2.0,5697.83,7.67,1.0,0.0,1672.83,24.5,376.0,0.0,17927.0,197.5,0.0,22686.33,1
sample_71,1406241.55,644.75,102655.67,268.0,100.0,0.0,0.0,0.0,49.5,0.0,0.0,0.0,270.33,0.0,241.33,21.0,0.0,0.0,5.83,6.0,0.0,1309.16,7.0,0.0,7386.5,0.0,50599.75,17.0,971.5,8.0,3.0,66.0,1940.5,468068.66,236616.17,0.0,69475.41,0.0,2.0,1.0,1420.25,0.0,1.0,1023.5,7.58,15.0,1.0,1420.25,0.5,0.0,0.0,0.33,0.0,0.0,0.0,4.5,0.0,0.0,1.0,3.0,0.0,8.0,0.0,1.0,3.0,5.5,0.5,35.0,607.0,0.0,154.0,0.0,0.0,0.0,38.5,13.0,12.0,4.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.33,3.67,0.0,0.0,0.0,9.0,0.0,11.5,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,5.33,0.0,1.0,18.0,0.0,0.0,2.0,2.0,0.0,0.0,1.5,0.0,0.0,2.0,23.0,0.0,0.0,3016.0,4.67,0.0,0.0,470.0,15.0,281.0,0.0,19885.66,119.0,2.0,13699.0,1
sample_72,1042774.47,678.25,98242.42,345.5,28.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,264.42,0.0,396.75,31.0,1.0,0.0,6.83,2.0,0.0,1424.66,19.0,1.0,16306.42,0.0,60353.08,89.0,1057.33,8.0,8.5,58.0,1542.0,486468.32,402082.5,0.0,96758.34,0.0,3.5,1.0,1038.42,0.0,4.0,882.0,4.58,16.0,1.0,1037.42,0.0,0.0,0.0,0.83,0.0,0.0,0.0,6.17,0.0,1.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,6.0,1.0,22.0,740.0,0.0,115.0,0.0,0.0,0.0,61.5,12.0,12.0,1.0,0.0,0.0,5.0,0.0,7.0,1.0,0.0,0.0,2.83,1.0,6.0,0.0,8.33,0.0,19.0,7.0,0.0,14.0,1.0,0.0,0.0,0.0,2.0,3.33,0.0,3.0,9.5,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,141.33,0.0,20.5,1.0,0.0,2853.0,12.33,1.0,0.0,874.83,16.5,335.0,0.0,16004.16,216.0,1.0,11194.33,1
sample_73,1599403.33,1400.5,173094.58,335.5,154.0,0.0,0.0,0.0,43.5,0.0,0.0,0.0,430.83,0.0,289.0,22.0,1.0,0.0,7.92,19.0,0.0,2959.5,9.0,0.0,24567.17,1.0,68415.58,615.5,955.5,27.0,9.0,118.5,3875.08,606739.32,452213.08,0.0,182408.0,0.0,2.0,2.0,1079.75,0.0,4.0,3531.5,1.75,21.0,3.0,1079.75,0.0,0.0,0.0,0.58,0.0,0.0,0.0,1.0,0.0,2.25,1.0,4.0,2.0,9.0,0.0,0.0,3.0,4.5,0.0,58.0,436.08,0.0,271.0,0.0,0.0,0.0,59.5,28.0,15.0,2.66,0.0,0.0,30.0,0.0,14.0,2.0,0.0,1.33,27.33,0.0,6.0,0.0,5.5,0.0,43.0,8.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,27.5,0.0,0.5,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,45.0,0.0,4.0,4828.5,2.67,0.0,0.0,1608.92,15.25,456.0,0.0,16609.0,275.0,0.0,21970.0,1
sample_74,1464129.38,1289.25,145027.83,460.83,19.0,0.0,0.0,0.0,34.25,0.0,0.0,0.0,301.83,0.0,312.0,46.0,1.0,0.0,5.58,17.0,0.0,3486.34,26.0,0.0,25643.33,1.0,111015.33,36.0,821.0,19.0,15.5,96.5,3211.0,601618.14,658817.0,0.0,198921.66,0.0,3.5,3.0,1106.75,0.0,6.0,3403.25,6.0,43.5,4.0,1105.75,0.5,0.0,1.0,1.33,0.0,0.0,0.0,2.0,0.0,1.5,9.0,2.0,1.0,6.0,1.0,0.0,0.0,10.0,0.0,48.0,666.33,0.0,286.0,0.0,1.0,0.0,65.33,10.0,22.0,2.0,0.0,0.0,24.5,0.0,11.5,1.0,0.0,3.67,7.75,0.0,3.0,0.0,18.5,0.0,41.0,8.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,19.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,32.5,0.0,3.0,6858.5,4.0,3.0,0.0,1553.17,5.25,333.0,0.0,23991.84,227.0,1.0,24052.5,1
sample_75,1841514.27,672.75,184399.75,609.5,40.0,0.0,0.0,0.0,33.0,0.0,1.0,0.0,331.08,0.0,812.5,39.0,5.0,0.0,32.33,28.0,0.0,2054.16,21.5,0.0,15191.5,2.0,49571.83,170.0,2154.42,20.0,18.0,366.5,6199.75,1194868.66,421882.17,0.0,101286.5,0.0,6.5,8.0,6030.67,0.0,2.0,3027.0,18.75,6.0,3.0,6029.33,1.0,0.0,2.0,17.75,0.0,0.0,0.0,17.83,0.0,0.0,4.0,4.0,0.0,7.0,0.0,0.0,2.0,6.5,2.0,39.0,10429.08,1.0,335.0,1.0,0.0,0.0,164.83,13.5,43.0,7.0,0.0,0.0,8.0,0.0,4.0,0.0,0.0,0.67,6.5,0.0,8.5,0.0,4.5,0.0,5.0,6.0,0.0,16.0,2.0,0.0,0.0,0.0,3.0,5.0,0.0,1.0,19.0,2.0,0.0,3.0,0.0,0.0,0.0,2.5,3.0,2.0,0.0,141.0,0.0,1.0,6584.25,11.67,0.0,0.0,672.67,62.33,474.0,0.0,107933.5,576.5,3.0,14318.0,1
sample_76,2021922.24,427.5,207626.25,470.5,33.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,308.42,0.0,606.5,24.0,3.0,0.0,24.58,23.0,0.0,742.84,10.0,0.0,7789.25,0.0,46789.83,95.0,2235.67,20.0,21.5,161.0,5581.0,1084734.48,360450.0,0.0,59971.5,0.0,5.0,5.0,4867.87,0.0,1.0,975.33,22.5,6.0,5.0,4867.87,0.5,0.0,0.0,15.25,0.0,2.0,0.0,23.83,0.0,0.0,3.0,5.0,0.0,2.0,1.0,0.0,1.0,3.5,0.5,32.0,4262.67,0.0,328.0,0.0,0.0,0.0,103.25,19.0,26.0,3.0,0.0,0.0,2.0,0.0,2.5,0.0,0.0,0.67,1.5,0.0,2.0,0.0,15.5,0.0,3.5,5.0,0.0,14.0,4.0,0.0,0.0,0.0,2.0,9.0,0.0,3.0,36.5,0.0,0.0,1.0,1.0,1.0,0.0,3.25,2.0,0.0,1.0,83.0,0.0,0.0,5550.5,17.33,1.0,0.0,520.17,46.5,460.0,0.0,75571.5,430.5,4.5,14260.67,1
sample_77,919517.0,954.75,81279.67,227.0,25.0,0.0,0.0,0.0,26.5,0.0,0.0,0.0,269.0,0.0,149.5,36.0,2.0,0.0,4.92,5.0,0.0,1461.34,13.0,0.0,14237.5,0.0,69841.67,17.0,800.0,12.0,13.5,78.5,1774.0,353936.48,339519.67,0.0,103603.0,0.0,5.0,2.0,1020.5,0.0,7.0,1499.0,5.67,10.0,4.0,1019.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.5,3.0,0.0,0.0,7.0,0.0,0.0,2.0,6.0,0.0,19.0,312.5,0.0,187.0,0.0,0.0,0.0,27.5,9.0,13.0,1.0,0.0,0.25,9.0,0.0,6.0,0.0,0.0,1.0,2.33,0.0,1.0,0.0,8.5,3.0,4.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,2.5,8.0,2.0,0.0,2.0,0.0,0.0,0.0,1.5,0.0,57.0,0.0,35.5,0.0,1.0,4945.17,3.67,0.0,0.0,1079.33,10.5,284.0,0.0,16416.66,162.0,0.0,14291.67,1
