,hsa-let-7a-5p,hsa-let-7c-5p,hsa-miR-1184,hsa-miR-1271-5p,hsa-miR-1298-5p,hsa-miR-1343-5p,hsa-miR-1469,hsa-miR-152-5p,hsa-miR-153-3p,hsa-miR-186-5p,hsa-miR-18b-5p,hsa-miR-197-3p,hsa-miR-217,hsa-miR-26a-5p,hsa-miR-302f,hsa-miR-30c-5p,hsa-miR-3138,hsa-miR-3168,hsa-miR-3682-5p,hsa-miR-3689b-3p,hsa-miR-378f,hsa-miR-4291,hsa-miR-4458,hsa-miR-4537,hsa-miR-4662a-3p,hsa-miR-4666b,hsa-miR-4747-3p,hsa-miR-4773,hsa-miR-4777-3p,hsa-miR-484,hsa-miR-5007-5p,hsa-miR-5089-3p,hsa-miR-5100,hsa-miR-515-3p,hsa-miR-518c-3p,hsa-miR-520c-3p,hsa-miR-545-3p,hsa-miR-5692a,hsa-miR-579-5p,hsa-miR-593-3p,hsa-miR-6072,hsa-miR-619-5p,hsa-miR-631,hsa-miR-6500-5p,hsa-miR-6502-3p,hsa-miR-665,hsa-miR-6740-5p,hsa-miR-675-5p,hsa-miR-6778-3p,hsa-miR-6787-5p,hsa-miR-6861-3p,hsa-miR-6868-3p,hsa-miR-7702,hsa-miR-7974,hsa-miR-8067,hsa-miR-877-3p,hsa-miR-887-3p,hsa-miR-92a-3p,hsa-miR-93-3p,hsa-miR-95-3p,Diagnosis
sample_31,1427316.47,134636.83,0.0,302.0,16.0,0.0,0.0,8.0,1749.5,14831.0,1.0,1126.67,3832.0,570902.48,0.0,112473.34,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2281.83,0.0,0.0,0.25,2.0,12.0,0.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,2.0,0.0,1.5,53.67,0.0,0.0,0.0,14.75,368.0,28221.66,225.0,12944.33,0
sample_32,694334.55,64745.75,0.0,213.67,4.0,0.0,0.0,3.5,1008.84,8812.83,1.5,602.5,2064.0,359765.48,0.0,63475.66,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,429.25,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,214.0,15707.5,119.33,7827.33,0
sample_33,1153565.45,84306.08,0.0,187.5,8.0,0.0,0.0,3.0,990.16,6194.83,1.0,722.5,1761.5,357101.16,0.0,66189.66,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,397.5,0.0,0.0,0.25,0.0,10.0,0.67,0.5,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,1.0,0.0,1.0,0.0,2.5,68.17,0.0,0.0,0.0,20.0,182.0,22580.0,86.0,19614.83,0
sample_34,1156942.33,87267.5,0.0,235.0,17.0,2.0,0.0,7.0,1039.5,6658.75,0.0,569.0,1858.5,391132.32,0.0,54513.0,5.0,0.0,1.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1786.42,0.0,0.0,0.0,1.0,6.0,1.67,3.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.25,1.0,0.0,1.0,2.0,118.33,0.0,0.0,0.0,4.0,214.0,40640.84,140.0,14850.83,0
sample_35,1061832.11,82160.42,0.0,259.0,11.0,0.0,0.0,4.5,2416.16,12640.08,1.0,1050.83,2916.58,404816.66,0.0,126423.84,4.0,0.33,1.0,0.0,0.33,0.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,1035.5,0.0,2.0,0.0,1.0,7.0,0.67,8.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.83,140.67,0.0,0.0,0.0,18.0,297.0,22246.84,187.0,17941.33,0
sample_36,1252890.32,105970.83,0.0,238.5,6.0,0.0,0.0,8.5,2212.0,15167.25,1.0,1120.5,1487.0,411492.66,0.0,144325.84,3.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.92,0.0,0.0,0.0,0.0,7.5,0.67,11.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,1.75,136.17,0.0,0.0,0.0,16.25,293.0,24333.84,174.0,19516.92,0
sample_37,1672968.6,244416.25,0.0,473.0,39.0,0.0,0.0,8.5,1159.84,11484.92,2.5,1538.0,2971.0,957376.32,0.0,89330.34,5.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2083.0,0.0,2.0,0.0,1.0,3.5,0.33,6.5,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,14.92,3.0,5.0,0.0,1.0,2.0,49.67,1.0,0.0,0.0,8.0,450.0,32970.66,316.0,12870.83,0
sample_38,1971327.19,245438.83,0.0,603.83,35.0,0.0,0.0,5.5,849.0,10304.33,2.5,2290.83,3650.33,1073443.82,0.0,74905.5,6.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4606.33,0.0,0.0,0.0,0.0,2.0,0.25,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,2.5,1.0,1.0,0.0,3.5,130.33,0.0,0.0,0.0,45.25,324.0,71566.16,443.75,12968.67,0
sample_39,1665552.5,246570.5,0.0,442.0,53.0,1.0,0.0,11.0,667.5,7581.5,0.0,1520.5,4792.75,842892.98,0.0,62701.16,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3614.92,0.0,0.0,0.0,1.0,6.0,1.0,6.83,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,15.33,0.0,2.33,1.0,0.0,1.0,40.33,0.0,0.0,0.0,20.83,386.0,53491.0,359.0,12428.67,0
sample_40,994403.21,83164.17,0.0,205.0,22.0,0.0,0.0,3.0,1646.66,9979.0,1.5,724.0,1692.5,362781.0,0.0,98775.0,6.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,454.67,0.0,0.0,0.0,0.0,7.0,0.0,3.5,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,53.67,0.0,0.0,0.0,12.0,211.0,17461.16,137.5,12546.17,0
