Model Name,Feature Count,CV Score (Mean +/- Std)
Naive Bayes,143,0.7448 +/- 0.0169
Random Forest,140,0.7448 +/- 0.0169
Random Forest,125,0.7448 +/- 0.0169
Logistic Regression,85,0.7379 +/- 0.0833
SVM(linear),52,0.7379 +/- 0.0743
Logistic Regression,58,0.7379 +/- 0.0710
Random Forest,69,0.7379 +/- 0.0710
Logistic Regression,60,0.7379 +/- 0.0710
ANN,78,0.7379 +/- 0.0676
ANN,111,0.7379 +/- 0.0676
Logistic Regression,65,0.7379 +/- 0.0676
SVM(linear),56,0.7379 +/- 0.0640
SVM(linear),51,0.7379 +/- 0.0640
SVM(linear),54,0.7379 +/- 0.0640
Logistic Regression,116,0.7379 +/- 0.0601
Random Forest,105,0.7379 +/- 0.0601
SVM(linear),50,0.7379 +/- 0.0601
Random Forest,133,0.7379 +/- 0.0560
Logistic Regression,101,0.7379 +/- 0.0560
ANN,113,0.7379 +/- 0.0560
SVM(linear),10,0.7379 +/- 0.0516
XGBoost,9,0.7379 +/- 0.0516
XGBoost,31,0.7379 +/- 0.0516
ANN,125,0.7379 +/- 0.0468
XGBoost,41,0.7379 +/- 0.0468
ANN,118,0.7379 +/- 0.0468
Naive Bayes,107,0.7379 +/- 0.0414
Naive Bayes,118,0.7379 +/- 0.0414
XGBoost,38,0.7379 +/- 0.0414
Naive Bayes,138,0.7379 +/- 0.0352
Naive Bayes,137,0.7379 +/- 0.0352
Naive Bayes,136,0.7379 +/- 0.0352
Naive Bayes,82,0.7379 +/- 0.0352
Naive Bayes,79,0.7379 +/- 0.0352
ANN,16,0.7379 +/- 0.0352
SVM(linear),48,0.7379 +/- 0.0352
XGBoost,39,0.7379 +/- 0.0352
SVM(linear),49,0.7379 +/- 0.0352
Naive Bayes,83,0.7379 +/- 0.0352
Naive Bayes,81,0.7379 +/- 0.0352
Naive Bayes,84,0.7379 +/- 0.0352
Random Forest,25,0.7379 +/- 0.0352
XGBoost,27,0.7379 +/- 0.0276
Naive Bayes,97,0.7379 +/- 0.0276
Random Forest,8,0.7379 +/- 0.0276
Logistic Regression,8,0.7379 +/- 0.0169
Naive Bayes,140,0.7379 +/- 0.0169
Naive Bayes,93,0.7379 +/- 0.0169
Naive Bayes,95,0.7379 +/- 0.0169
Naive Bayes,88,0.7379 +/- 0.0169
Naive Bayes,87,0.7379 +/- 0.0169
Naive Bayes,91,0.7379 +/- 0.0169
Naive Bayes,90,0.7379 +/- 0.0169
Naive Bayes,94,0.7379 +/- 0.0169
