,UNC93B6,HMGB1P5,AC024568.1,PTMAP5,AP003086.3,AC103705.1,GAPDHP72,AL590627.1,FAM91A3P,PHACTR2P1,SH3GL1P1,AL669831.3,RPL37P6,CYCSP38,AIDAP2,AC005230.1,AP001885.1,ZNRF2P2,GTF2IP4,KRT8P12,RPS18P9,PDIA3P1,NANOGP4,CCNYL6,RPS10P7,RPS12P26,RPL26P30,AC112694.1,PRELID1P1,Diagnosis
RNA319_FPKM,0.041887257,37.75833643,0.101919482,32.05189444,0.259093755,0.048288895,0.032307739,0.383354647,0.181113446,0.210677918,1.4932696,0.110214713,12.78017456,0.0,0.060698265,0.269401203,0.169439559,0.045893212,26.62979778,1.955836686,1.091491232,8.385640763,0.168191332,0.12237785,0.366281065,0.581661689,1.856697874,0.0,0.687820793,0
RNA32_FPKM,0.325510254,30.07088142,0.087989552,14.50051004,0.503298436,0.375258048,0.12553341,0.650510959,0.390869918,0.181894792,0.715217306,0.868228754,2.42547015,1.544199076,0.432265098,2.442415753,0.658202202,0.118862156,49.09732109,1.785369157,1.003069079,4.133234466,0.108902731,0.15847551,0.166012041,2.008880513,1.048079786,0.240324844,1.145221298,1
RNA328_FPKM,0.086802052,37.90118398,0.140837143,27.83548081,0.503390162,0.0,0.0,0.780743469,0.281500774,0.0,1.907605972,0.38065932,6.621188682,0.0,0.047172073,1.954225213,0.131681116,0.0,38.63430245,1.694337663,1.678171792,6.118303876,0.174269618,0.147929399,0.322596288,0.200894143,0.887910921,0.0,0.152743355,0
RNA331_FPKM,0.0,43.83531076,0.154382942,39.49027043,0.08829951,0.175577967,0.0,1.021120679,0.438886469,0.063807641,1.561521987,0.025039844,8.410263328,0.216803814,0.110306973,0.244950274,0.269457863,0.083411423,18.85407108,1.835677064,0.831917662,7.646927668,0.611460666,0.09267077,0.765587542,0.17628997,1.124868209,0.0,0.267892692,0
RNA334_FPKM,0.11294973,51.11459782,0.091609228,36.33111345,0.116446899,0.130211859,0.0,0.392059752,0.081382412,0.0,1.176604179,0.115559768,13.86249825,0.0,0.068185073,0.242066865,0.190339026,0.082515122,22.01415697,2.362949022,1.044234342,6.688992147,0.075563041,0.0,0.526707857,0.0,1.454763697,0.0,0.529889385,0
RNA335_FPKM,0.0,47.74941252,0.039897015,33.03600788,0.0,0.226717716,0.0,0.589560846,0.177141676,0.04122874,1.320443475,0.097013466,7.370423802,0.0,0.089043356,0.316376331,0.198831312,0.107734958,19.41092078,2.52124773,0.74381439,7.236619182,0.39483151,0.047872665,0.322406712,0.227695087,1.396868067,0.0,0.4036398,1
RNA336_FPKM,0.12849113,38.11613108,0.069454918,21.63343805,0.099335403,0.049361042,0.0,0.635130209,0.339413824,0.0,1.547408989,0.262885542,12.27617202,0.0,0.046537096,0.550765313,0.303106751,0.0,26.73020898,2.917128384,1.2957371,5.190812273,0.515855873,0.166803877,0.35570841,0.594758185,0.584020394,0.0,0.602703068,0
RNA35_FPKM,0.121178983,40.90886698,0.131044883,19.41286971,0.093682444,0.093132527,0.046732816,0.599025446,0.378319828,0.033854759,1.242489488,0.478165568,5.417247108,0.0,0.058518363,0.259790732,0.285870111,0.088512084,35.88787486,3.802292276,1.086260174,5.175422324,0.0,0.019665434,0.723943875,0.74788241,0.963898644,0.0,1.373698901,0
RNA358_FPKM,0.0,47.34801707,0.087755425,28.84808047,0.0,0.249402184,0.0,0.716824252,0.311794022,0.045342309,0.897957681,0.118577467,2.844838466,0.0,0.058760293,1.043459099,0.273421458,0.0,30.30016346,1.86284884,0.409107096,6.649586354,0.108612957,0.052676563,0.425621321,1.001387558,1.106404338,0.239590673,0.634309792,0
RNA365_FPKM,0.0,43.34003926,0.043901827,26.9997574,0.125497072,0.124739262,0.0,0.648764953,0.38984983,0.136055581,1.294531622,0.367713336,4.126421484,0.615948532,0.058793431,1.39182756,0.05472594,0.17785628,37.25864368,1.697799236,1.136838569,5.452536377,0.0,0.184388954,0.44940086,1.252244909,0.799337585,0.04795463,0.380746714,0
