,TRAV9-2,TRAV13-1,TRGV3,TRGV1,TRAV25,TRAV17,TRBV25-1,TRAV41,TRGV5,TRAV12-1,TRDV2,TRAV4,TRAV13-2,TRBV24-1,TRBV15,TRAV36DV7,TRAV26-1,TRBV27,TRBV5-4,TRAV19,TRBV13,TRBV18,TRAV14DV4,TRBV7-4,TRBV7-6,TRBV4-1,TRBV2,TRAV38-2DV8,TRBV12-5,TRAV21,Diagnosis
RNA314_FPKM,4.80072063,16.02545,4.226854779,0.0,1.642840484,4.689712843,1.737702664,3.940561531,3.426601319,6.119714265,2.72815026,5.74638232,1.845301025,1.241065074,6.065436207,1.593975433,1.585070542,16.86236543,2.955434377,5.8729482,1.77022651,7.292065181,8.011132998,1.907967478,4.342769801,43.61148579,8.761185633,4.788566907,0.230193335,15.99252004,1
RNA319_FPKM,5.457177156,9.385630374,2.717015203,0.495350599,2.096093973,9.360888796,1.209324428,0.914267623,2.225765554,4.517107373,6.940701853,4.276899222,5.431480835,0.806283258,6.748919204,1.078576585,2.717015203,25.79546659,3.670163812,3.28868631,0.821374121,2.69122253,2.168247562,0.663798353,1.175389304,8.852674509,7.113666676,3.305008805,1.121052572,18.35808954,0
RNA32_FPKM,0.757067463,3.314779423,3.703607589,0.427648144,0.0,1.438199359,0.521932774,0.295917243,2.702183284,4.972213808,0.573624193,2.517400178,1.455269015,0.782899162,0.236171481,1.676012068,1.851718939,2.569439458,2.741921273,3.194015359,4.520194371,0.929448386,0.467897381,0.0,0.0,1.86618898,2.361931283,1.258815449,0.0,1.739534391,1
RNA328_FPKM,4.442873754,5.304445612,4.741497781,0.342168088,0.987210979,4.274347527,0.417606722,5.20979839,1.153094685,7.254794787,15.45461336,11.68346459,5.822136944,1.461822009,5.480870415,2.011623507,2.815185094,6.579287618,2.047764693,5.792917493,1.70189376,1.859093572,4.493177459,0.91726785,2.638658905,12.37256974,10.96192045,3.625823583,0.967995193,10.67082414,0
RNA331_FPKM,4.427922823,8.14149888,4.418391078,0.7503343,2.597495518,7.930130124,2.381021095,2.699907849,0.758543981,10.26236231,16.77515828,5.300017827,6.808273869,0.915762334,9.945578217,1.176169319,2.339197081,22.36006673,9.621101329,2.689826194,0.932902271,2.934927179,5.254420466,1.608828784,3.02637246,9.354432131,10.77433225,4.063428562,0.679243229,7.934639819,0
RNA334_FPKM,9.108692039,10.54405978,2.313390728,0.296876987,3.767535318,4.42044832,3.985083289,3.902618683,0.375066768,7.307593064,5.441531944,7.687856082,5.386551325,3.622936011,4.917905568,2.132467322,1.799246224,12.84003514,9.895528142,5.615759647,0.553574481,5.805097294,3.897328312,0.994480274,5.105737723,7.401092638,12.9506557,3.669183992,1.679244063,7.243678256,0
RNA335_FPKM,3.888558197,21.02937268,3.020966823,0.581522234,2.012728516,11.91750909,1.4192172,3.486936788,5.551227868,4.771350541,6.239458399,6.160477913,5.495483394,2.60202146,1.712499614,1.012587553,5.706290099,14.20585674,4.307392503,1.157862427,5.301444793,1.684491443,11.4512413,1.298698626,6.437642934,7.007049223,49.45143818,10.49573472,1.973551319,4.204135858,1
RNA336_FPKM,3.984693963,8.504241265,1.754236303,0.0,1.363604316,5.190070901,2.884496086,1.869097013,0.995529963,4.617557122,3.019171964,8.346782346,4.595067609,3.296675047,1.864571759,1.102506616,4.239236639,5.476749253,5.050585583,7.900366985,3.358377521,4.035069172,6.649417916,1.58366726,2.403124731,9.470518145,10.62833293,2.782260782,0.954969234,6.408122501,0
RNA35_FPKM,5.637390204,9.048938174,2.895285871,0.955359466,3.123094487,4.589115166,1.36032155,3.525496189,0.402393253,6.532740413,2.989939448,9.933928992,8.125995369,0.3886633,1.231074847,3.11945607,5.652693979,7.652341882,2.994133955,2.060911443,3.761197314,3.45964522,5.400219013,0.853491166,3.021853876,6.947063043,8.617148541,3.561234925,1.441174864,9.281566717,0
RNA358_FPKM,8.807352196,14.04555473,5.723356138,2.558609602,2.952241849,9.422906199,2.862440512,2.360726167,4.131056703,4.957254611,42.51765874,7.530085221,12.81615102,1.301084259,3.061560795,5.291555695,4.984902743,10.24757072,10.02380363,7.64273094,1.590579499,3.011488539,4.199129876,1.714342169,1.011605798,6.910801993,8.713346742,2.008111372,0.0,10.11690019,0
