,TRAV9-2,TRAV13-1,TRGV3,TRGV1,TRAV25,TRAV17,TRBV25-1,TRAV41,TRGV5,TRAV12-1,TRDV2,TRAV4,TRAV13-2,Diagnosis
RNA418_FPKM,8.997231403,8.53402638,3.227299592,0.847032827,1.759183914,5.208265309,1.447372933,3.282435044,6.421936907,8.109319541,17.11859161,7.977313692,6.340462978,0
RNA431_FPKM,6.436972538,4.900957019,3.285557778,0.474174224,2.736137165,1.594889992,2.894129338,1.312756344,0.0,3.243127287,5.513476547,1.395776301,5.916882129,1
RNA44_FPKM,5.715098283,11.39275179,5.091732642,1.210573347,1.596331285,5.150750883,1.266434922,2.15419258,1.748230816,9.697579516,55.3656527,7.125735013,4.511321755,1
RNA442_FPKM,5.850758895,13.02722952,3.996584117,0.0,3.550315419,5.748088657,1.669053122,0.709636764,1.727946575,5.844726575,23.99936949,3.421007079,4.45914244,0
RNA454_FPKM,5.749240963,4.650819479,3.301322365,0.423522292,0.733133904,1.627967194,0.516897286,1.465723686,0.892179635,4.924397095,9.470119748,2.992162489,1.441233968,0
RNA457_FPKM,2.921877526,5.916058195,2.036653965,1.114136144,1.713974807,1.783965352,0.755457632,0.514010069,1.25132581,2.708752342,1.549718888,2.040136258,2.66751995,0
RNA466_FPKM,5.565772351,9.250184834,0.907523198,0.349402838,1.410858851,3.691757249,2.98444943,2.417284509,0.882862242,4.538761855,2.967651982,2.467544088,3.763851294,0
RNA471_FPKM,4.682499746,6.17985071,5.759736244,1.750387594,1.750459529,2.578551874,0.427288497,1.291931178,3.145670035,4.787824889,18.7832144,3.159542043,3.705769321,0
RNA476_FPKM,8.445202111,11.49128694,12.8951544,1.353837772,2.231568414,15.79378518,1.180093079,1.873614774,3.747158783,11.37375232,17.46747906,4.325783775,5.04495524,0
RNA483_FPKM,4.559863652,11.09005704,2.230435632,0.429235197,1.816289083,3.574493437,2.270413154,3.56471409,2.531409966,4.696860788,1.919404467,6.064376263,5.031005126,0
RNA488_FPKM,5.134815564,5.017721788,4.574790579,0.0,1.972260987,1.492875904,0.568864799,1.93536517,2.225301425,3.187729136,16.11835825,4.207193325,5.463231836,0
RNA499_FPKM,7.565726679,7.43102012,1.423319686,0.493192893,2.844967496,4.105865589,0.0,2.047405649,2.077032429,6.968935808,5.144552391,8.126975238,7.829646876,0
RNA50_FPKM,7.541978411,16.71473343,5.671814788,0.319588591,4.79284499,4.758179686,1.75480453,7.296096317,5.248614396,12.23556427,6.571551881,11.84846325,3.805058767,1
RNA504_FPKM,5.529567437,12.76375232,8.114151099,1.192601433,2.653921185,4.828686021,0.519849347,2.947360136,1.578745718,4.310636463,7.92232385,5.014144225,4.154407648,0
RNA519_FPKM,3.199895286,6.070504414,3.59996992,0.0,0.834274323,8.856759736,0.0,3.001897787,1.522701776,3.708113949,10.50656855,3.404684073,1.434960094,0
RNA52_FPKM,8.429125976,5.221849371,3.85066309,0.0,6.68586178,13.20544558,0.0,19.20873168,6.924551828,9.030697493,84.83371258,0.0,8.864232156,0
RNA521_FPKM,7.461836116,7.067323472,8.949285003,1.337403145,1.683458643,4.205297756,0.296805095,1.514501,3.482393791,3.824673266,4.675295594,14.8860493,4.550585371,0
RNA528_FPKM,4.858623808,7.734576268,3.078697866,1.497099458,2.159180338,4.134992517,0.913584315,1.294982804,0.315214544,2.303267877,5.187476205,3.084114684,2.758991957,0
RNA53_FPKM,2.082289423,2.629557797,2.46796486,1.357191121,0.939593853,1.564695549,0.993848616,1.690430013,1.829257598,4.454780269,0.242728412,1.597706004,2.154954683,0
RNA535_FPKM,6.270074241,9.518494442,10.83314684,0.856810713,2.175139825,9.549729171,3.555763038,2.845978418,5.919063771,32.81363334,10.26776054,6.455890252,3.887385125,1
RNA58_FPKM,4.334742019,9.250885269,3.498408553,0.0,1.271341458,3.52869495,0.0,1.524852999,3.094000644,7.283688279,2.463300513,4.972212434,4.582061934,0
RNA6_FPKM,7.047897283,9.755393051,5.018933624,0.878155855,2.837251716,7.762324011,1.929317504,4.86148538,1.775531326,6.485649148,16.02024114,8.890991135,6.772857389,0
RNA60_FPKM,8.259688992,6.721962015,3.418509474,1.435659221,0.82815611,2.413730915,1.533015814,1.986849815,9.825731817,5.644829707,9.467576419,11.40753931,5.291644422,0
RNA62_FPKM,1.725019392,3.776071199,0.949275266,0.182760401,1.054037795,3.159674492,0.668977451,1.770072632,0.615695644,1.249344798,1.633893872,1.075385396,0.621659534,0
RNA63_FPKM,6.209698343,5.354579414,5.936721738,0.478335201,1.103850463,0.612699772,0.778337767,1.323963502,3.089171596,6.541750819,2.994072449,4.504667194,7.594875005,0
RNA64_FPKM,1.526716534,4.386237988,1.680241101,0.0,3.17191692,0.310705741,0.789404612,1.119026926,0.681146825,3.317355706,1.156781374,0.951881132,7.152580694,0
RNA66_FPKM,2.760667321,36.65876568,4.455985268,0.935599401,0.719748605,4.494498405,3.045055462,3.021342551,1.576405912,4.265367114,0.418320886,8.995186938,8.666094733,0
RNA67_FPKM,2.951339231,15.91907493,3.402670939,1.071673519,1.442714215,3.603612918,1.089875444,6.921316907,0.300866759,5.618588048,1.597265234,4.205457831,5.874751519,0
RNA69_FPKM,9.488139966,5.408311287,1.16020086,0.502463326,2.125740219,4.022710875,0.408758447,4.40411059,0.141138548,7.100832226,28.90587902,4.337586371,3.419201658,0
RNA7_FPKM,5.026138492,5.271496749,2.612072824,1.064635964,4.094816298,1.875263189,0.866173029,6.630435795,2.242237285,9.221922973,10.94863877,2.715623246,2.414905966,0
RNA72_FPKM,4.071117893,5.940743455,1.564585493,0.985597471,1.137227851,4.260835549,0.601343774,3.637089273,0.276752913,4.268390712,2.937686946,4.060811266,3.539641078,0
RNA74_FPKM,12.49742869,17.44418437,9.302283211,1.074263674,5.135160329,15.77633608,1.123867269,7.433520959,2.456375847,6.926425542,3.568177069,7.768442606,5.04748686,0
RNA75_FPKM,16.02138894,34.34589326,7.271088896,0.839708505,1.937788859,5.647068951,1.366393707,2.517841321,5.776651451,11.67541327,8.134564266,15.81610498,20.47531967,0
RNA78_FPKM,2.850540549,2.451191074,1.643256586,0.172576431,0.398104589,2.320481356,0.631717033,0.47748854,1.162580792,1.179765703,0.154323154,4.264834261,2.152265333,1
RNA86_FPKM,9.81256913,18.04189337,5.039582504,1.662933953,1.726892952,3.195132179,1.014782531,3.221682742,1.680856058,10.23388263,5.501747428,19.77100329,3.206011434,1
RNA87_FPKM,4.651253055,8.969198598,15.43839235,0.938438227,3.24819718,3.065112099,0.0,5.454147928,6.797974158,4.363277223,4.363398999,4.19772889,6.598154614,0
RNA89_FPKM,4.01051205,5.852376843,3.643105422,0.647208255,0.746778755,3.731073471,0.789899838,0.895689995,0.681532363,5.753963564,1.157630657,3.619325812,4.588033137,0
RNA94_FPKM,2.56026266,0.0,0.0,0.0,0.0,0.0,0.0,2.078619256,0.0,14.60680872,6.864562529,7.268750494,20.81923776,1
RNA95_FPKM,7.620263385,8.790933132,9.822217649,2.094118066,2.416290076,4.694518809,1.916860041,5.554624181,3.822092301,5.728028828,6.398078992,7.806480635,4.552082255,0
RNA97_FPKM,6.31121149,17.53411595,21.55010979,1.645493327,2.373240952,1.97606633,0.0,5.977568633,12.12827021,12.65829024,19.67974892,4.358406332,3.732198105,0
RNA98_FPKM,4.046215611,5.535447746,8.535289892,0.857101587,1.236204211,3.293820147,0.0,0.889625531,3.610074617,6.740221667,3.640621402,4.792716783,2.673216229,1
R_JS001_FPKM,2.598022337,40.84114397,63.25033724,4.602859302,1.847326343,1.153505307,0.488347272,1.107846006,4.383112064,9.031948241,9.663492365,4.240519856,6.354971146,1
R_JS002_FPKM,3.10541066,3.219969168,11.63233271,2.354351352,1.757699433,2.395018389,0.507018223,2.491618793,4.899865374,82.20187775,1.857581415,1.630404992,13.03667281,1
R_JS003_FPKM,3.046023271,6.667630368,5.363963793,1.720736578,1.389705706,1.983724492,1.680004644,1.190688257,8.696909176,8.942437358,16.92547158,2.228081732,1.561175047,1
R_JS004_FPKM,2.401237095,2.628020598,5.725898479,3.22156194,0.978268144,2.280545951,0.827804854,0.704003682,4.999107549,3.942145521,10.46167844,4.391083559,3.846035889,1
R_JS005_FPKM,1.884376701,4.81237551,4.30151202,0.88703037,0.409398632,1.875034998,1.082596121,1.964138677,2.391279097,3.63968305,3.331644584,2.088451252,2.817069299,1
R_JS006_FPKM,4.439558003,8.329420959,5.583969358,0.716530697,1.033346791,3.097810917,1.093015109,2.726842018,2.263416109,4.409824952,3.844290813,4.217554103,4.063253343,1
R_JS007_FPKM,3.65519052,1.684367595,4.093275494,0.489033111,1.128537948,5.794341476,1.591528436,3.835040249,3.982045181,5.350344125,0.728792188,6.716176539,2.772965398,1
R_JS008_FPKM,3.048166146,5.242612634,3.35476968,1.844819449,1.064430888,1.063439311,1.125894089,3.82978182,1.398735626,2.775500806,1.979633178,3.47502765,2.510754275,1
R_JS009_FPKM,2.323899547,4.069301317,1.534535064,0.59078124,0.0,1.13498358,1.682160485,0.817599038,1.658725401,7.270988199,6.867104987,5.099683613,1.786522529,1
R_JS010_FPKM,4.798615536,5.064171454,3.269306475,0.580804061,2.680804478,2.232157448,0.886159281,0.60294566,1.100906838,6.950935739,1.428341382,7.179526912,2.470271724,1
R_JS011_FPKM,4.868938447,2.588226284,5.40949668,1.768056199,0.952071496,2.491386251,0.863112834,1.141919086,3.872450014,9.99470547,2.740503087,2.913904107,3.743114476,1
R_JS012_FPKM,2.348246064,22.42824727,6.421469547,1.266030418,5.426098833,2.606634953,1.545155234,2.002395048,5.637548512,5.442104298,6.146206482,4.045604267,4.718087935,1
R_JS013_FPKM,4.01698812,6.045053492,4.666637304,0.283613938,0.163623426,8.311440725,0.0,1.570195527,6.212339444,12.41340598,14.4574787,5.843451925,3.699397753,1
R_JS014_FPKM,3.935634263,6.080940783,4.076608346,1.765434421,1.018463639,1.036477187,1.316679681,1.085882283,1.156700692,5.231330949,4.648367894,3.925670632,2.892154763,1
R_JS015_FPKM,0.945160344,2.896129153,3.467128272,0.800845539,1.293556445,1.538692879,0.0,1.55149776,2.5634052,3.066489691,10.02517591,1.508248819,1.63481053,1
R_JS016_FPKM,1.776646935,3.888697551,5.083542547,1.505373962,0.521090987,2.603163926,2.939452917,0.833332015,2.282484312,3.911562439,1.211536545,1.772149095,0.853657186,1
R_JS017_FPKM,2.528531861,4.044734053,5.993837662,1.648053789,0.760674763,2.691722072,1.206805991,0.684215897,1.943653879,4.733368859,2.65278629,6.790486971,2.243062899,1
R_JS018_FPKM,2.175571128,3.095326719,3.671123862,1.290392323,1.063369596,2.30230913,0.44985657,2.806021239,1.087015272,5.546310006,0.824111437,2.821057263,2.090670792,1
R_JS019_FPKM,4.440012683,3.470962296,4.498788511,1.074878646,0.826903764,1.377033954,2.405232858,2.479347581,2.716405275,2.205081929,1.762295613,4.007059856,1.625571789,1
R_JS020_FPKM,2.70653364,2.715509892,13.90114542,4.204448784,1.102598549,2.203252591,1.632875266,0.529101968,4.18591523,11.23925493,12.30488623,3.824611315,1.950744634,1
R_JS021_FPKM,0.599075076,3.715248318,3.516231475,0.169152146,0.390520675,0.81284176,0.413070426,1.40497369,0.855201376,2.776889175,0.453914577,2.589362195,0.767539823,1
R_JS022_FPKM,3.106756479,7.042933865,2.767827225,1.128194919,1.084839326,1.264526914,1.835830487,0.780539188,2.850984799,6.171630136,0.336232265,3.762843595,2.345640445,1
R_JS023_FPKM,3.092319511,2.256170047,4.991538552,1.397369835,0.604735552,1.006885806,1.066017508,0.24185769,8.97601401,6.450363153,15.30789312,1.439485858,1.386821741,1
