Model Name,Feature Count,CV Score (Mean +/- Std)
Naive Bayes,92,0.5310 +/- 0.0640
Naive Bayes,95,0.5310 +/- 0.0640
Naive Bayes,44,0.5310 +/- 0.0468
SVM(poly),30,0.5310 +/- 0.0352
SVM(poly),51,0.5241 +/- 0.0985
Naive Bayes,55,0.5241 +/- 0.0935
Naive Bayes,56,0.5241 +/- 0.0935
Naive Bayes,47,0.5241 +/- 0.0828
Naive Bayes,49,0.5241 +/- 0.0828
SVM(poly),47,0.5241 +/- 0.0768
Naive Bayes,36,0.5241 +/- 0.0768
SVM(poly),48,0.5241 +/- 0.0768
SVM(poly),65,0.5241 +/- 0.0736
Naive Bayes,38,0.5241 +/- 0.0736
Naive Bayes,83,0.5241 +/- 0.0736
SVM(poly),35,0.5241 +/- 0.0703
Naive Bayes,96,0.5241 +/- 0.0703
SVM(poly),59,0.5241 +/- 0.0703
Naive Bayes,46,0.5241 +/- 0.0669
Naive Bayes,94,0.5241 +/- 0.0507
Random Forest,1,0.5241 +/- 0.0507
SVM(poly),33,0.5241 +/- 0.0258
SVM(poly),50,0.5172 +/- 0.0899
Naive Bayes,57,0.5172 +/- 0.0899
Naive Bayes,53,0.5172 +/- 0.0899
Naive Bayes,54,0.5172 +/- 0.0899
Naive Bayes,37,0.5172 +/- 0.0899
SVM(poly),58,0.5172 +/- 0.0786
SVM(poly),60,0.5172 +/- 0.0786
Naive Bayes,48,0.5172 +/- 0.0786
Naive Bayes,50,0.5172 +/- 0.0786
SVM(poly),38,0.5172 +/- 0.0755
SVM(poly),37,0.5172 +/- 0.0755
XGBoost,1,0.5172 +/- 0.0723
SVM(poly),67,0.5172 +/- 0.0654
SVM(poly),66,0.5172 +/- 0.0654
Naive Bayes,103,0.5172 +/- 0.0617
Naive Bayes,98,0.5172 +/- 0.0534
SVM(poly),94,0.5172 +/- 0.0436
SVM(poly),96,0.5172 +/- 0.0436
SVM(poly),99,0.5172 +/- 0.0436
SVM(poly),93,0.5172 +/- 0.0436
SVM(poly),102,0.5172 +/- 0.0436
SVM(poly),98,0.5172 +/- 0.0436
SVM(poly),100,0.5172 +/- 0.0436
SVM(poly),95,0.5172 +/- 0.0436
SVM(poly),101,0.5172 +/- 0.0436
SVM(poly),103,0.5172 +/- 0.0436
SVM(poly),31,0.5172 +/- 0.0308
SVM(poly),32,0.5172 +/- 0.0308
SVM(poly),52,0.5103 +/- 0.0828
SVM(poly),79,0.5103 +/- 0.0768
SVM(poly),80,0.5103 +/- 0.0768
Naive Bayes,51,0.5103 +/- 0.0768
SVM(poly),82,0.5103 +/- 0.0768
SVM(poly),81,0.5103 +/- 0.0768
SVM(poly),83,0.5103 +/- 0.0768
SVM(poly),61,0.5103 +/- 0.0703
Naive Bayes,62,0.5103 +/- 0.0593
Naive Bayes,97,0.5103 +/- 0.0593
SVM(poly),89,0.5103 +/- 0.0402
SVM(poly),90,0.5103 +/- 0.0402
Naive Bayes,43,0.5103 +/- 0.0402
SVM(poly),91,0.5103 +/- 0.0402
SVM(poly),92,0.5103 +/- 0.0402
SVM(poly),53,0.5034 +/- 0.0941
SVM(poly),63,0.5034 +/- 0.0804
SVM(poly),64,0.5034 +/- 0.0804
Naive Bayes,59,0.5034 +/- 0.0774
Naive Bayes,58,0.5034 +/- 0.0774
SVM(poly),49,0.5034 +/- 0.0774
SVM(poly),84,0.5034 +/- 0.0710
SVM(poly),68,0.5034 +/- 0.0710
SVM(poly),69,0.5034 +/- 0.0640
Naive Bayes,42,0.5034 +/- 0.0601
Naive Bayes,40,0.5034 +/- 0.0516
SVM(poly),88,0.5034 +/- 0.0516
SVM(poly),86,0.5034 +/- 0.0516
SVM(poly),87,0.5034 +/- 0.0516
SVM(poly),97,0.5034 +/- 0.0468
Naive Bayes,41,0.5034 +/- 0.0468
SVM(poly),34,0.5034 +/- 0.0276
SVM(poly),56,0.4966 +/- 0.0990
SVM(poly),62,0.4966 +/- 0.0861
Naive Bayes,60,0.4966 +/- 0.0833
SVM(poly),57,0.4966 +/- 0.0804
SVM(poly),55,0.4966 +/- 0.0804
Naive Bayes,61,0.4966 +/- 0.0743
SVM(poly),70,0.4966 +/- 0.0743
SVM(poly),71,0.4966 +/- 0.0743
SVM(poly),85,0.4966 +/- 0.0640
Naive Bayes,39,0.4966 +/- 0.0601
SVM(poly),78,0.4897 +/- 0.0768
SVM(poly),72,0.4897 +/- 0.0669
SVM(poly),75,0.4828 +/- 0.0845
SVM(poly),74,0.4828 +/- 0.0845
SVM(poly),73,0.4828 +/- 0.0845
SVM(poly),54,0.4828 +/- 0.0690
SVM(poly),76,0.4759 +/- 0.0798
SVM(poly),77,0.4759 +/- 0.0798
