,Y_RNA.226,Y_RNA.418,Y_RNA.322,RN7SL481P,AC004079.1,Y_RNA.387,Y_RNA.213,Y_RNA.398,RN7SKP292,RN7SL172P,Y_RNA.510,Metazoa_SRP.55,Metazoa_SRP.24,Y_RNA.464,Y_RNA.680,RN7SL648P,RN7SL128P,Y_RNA.655,RN7SKP80,Y_RNA.206,RN7SL263P,Y_RNA.237,Diagnosis
RNA519_FPKM,9.064178339,3.502214085,0.743493895,1.124456696,45.32239475,0.923239672,8.32924496,0.823674609,0.53030371,0.277276601,3.001897787,0.0,0.0,0.0,0.875154272,0.0,0.0,0.0,0.89088723,1.436805779,0.869383056,0.893774576,0
RNA52_FPKM,3.071928125,3.916226363,5.545099274,0.0,29.48763692,0.0,16.93572769,3.071928125,0.0,0.413594863,0.0,0.0,0.0,0.0,5.874741208,0.0,0.0,0.0,0.0,0.0,0.0,2.666366885,0
RNA521_FPKM,9.422947905,8.244964316,5.003107006,0.945507871,36.029424,1.242667487,10.18707026,1.108654327,0.535091836,2.425660738,1.009667333,0.170305333,0.0,0.554327163,2.355890444,0.0,0.185381543,1.256474904,0.599378488,5.315320191,1.559761949,0.601503943,0
RNA528_FPKM,7.67755959,9.970711189,3.080315257,2.037166054,77.63123219,1.912070638,6.271632866,2.55918653,0.82346065,2.297528872,1.553557393,0.262164452,0.29807739,0.0,2.719135688,0.289164777,0.570486649,0.967095533,0.614835435,7.437176719,2.100388449,1.851047107,0
RNA53_FPKM,9.280792226,17.09212568,5.026411365,0.422136369,33.41085201,0.693509749,13.64527289,1.237438964,1.393582681,1.041409029,1.690430013,0.0,1.512896267,0.618719482,1.972168348,0.0,0.0,0.0,2.453015048,4.31517177,0.870474305,0.671376459,0
RNA535_FPKM,53.12728303,5.81074757,1.41075031,0.0,53.90833596,0.875465922,7.897129275,0.78105293,1.256835904,0.789050112,0.711316061,0.0,0.0,0.0,2.490439416,0.529617226,0.522671426,0.0,0.563303127,0.680917939,0.274715168,0.84752552,1
RNA58_FPKM,5.023045172,6.226345064,3.022951949,1.142453412,70.32419115,0.0,9.231542478,1.6740886,1.346915107,2.536520327,0.762308202,0.0,0.292392187,0.0,2.668906788,0.0,0.0,0.948650207,1.207044418,6.568937258,1.177908863,0.908282113,0
RNA6_FPKM,4.003357576,10.20930512,0.723045781,0.819475997,49.64408248,0.897848057,13.24450395,1.601168135,0.257741871,1.347664927,1.458206694,0.246096907,0.0,0.0,1.701241143,0.0,0.267882535,1.81465722,1.154514121,2.094216436,0.281738528,0.869193332,0
RNA60_FPKM,2.454236397,14.77685287,2.21532843,1.674462291,13.90762623,0.916646153,13.53146554,0.817792156,0.526553037,1.652357178,1.490333148,0.754012387,1.142968878,0.0,2.607626172,0.554542567,0.547269877,0.92683111,0.884565769,4.992128419,2.014065604,1.775716091,0
RNA62_FPKM,4.997655078,4.424762827,1.503511703,0.284226042,20.82379273,0.933885566,6.888659702,3.331999956,0.804039145,3.084283991,0.758782023,0.255974658,1.745756226,0.0,1.769758567,0.0,0.0,0.0,0.900637488,7.261750543,1.171944812,0.904080708,0
RNA63_FPKM,5.087966253,7.722900273,1.968370517,1.735694173,75.59406232,0.0,18.70228501,0.726674716,0.467839266,0.244623172,0.661793045,0.0,0.761732426,0.726674716,2.316936129,0.0,0.0,0.0,0.524046104,2.534587089,1.278382468,0.0,0
