,MIR4513,MIR553,MIR1244-1,MIR4312,MIR4639,MIR4721,MIR5587,MIR1244-2,MIR3174,MIR5194,MIR6774,MIR635,MIR1255A,MIR4632,MIR8075,MIRLET7B,MIR590,Diagnosis
RNA145_FPKM,0.8496975,0.0,531.9413155,0.961499802,2.117182128,0.821056011,2.75633145,139.2153569,0.839930862,3.043709322,2.086936669,6.708329106,0.0,3.592779538,3.652139171,9.68074481,1.506036772,0
RNA150_FPKM,3.762357025,1.189568765,299.7818815,2.128702001,4.689314553,1.817768001,6.104956683,100.8792686,2.789333657,4.718622769,5.777905432,16.50913331,0.0,3.978229969,3.033400352,0.974586458,5.003546972,1
RNA151_FPKM,1.686406374,0.0,373.7364687,1.908301949,4.204639395,0.815107697,2.736432984,116.0459924,0.833845805,2.417667652,4.144573118,6.661069608,0.641987478,5.945323005,2.719694165,0.874031145,2.990929054,0
RNA152_FPKM,1.955736729,1.236715873,466.9042608,1.106535255,2.437584909,0.94490651,4.760189398,125.6293714,0.0,2.802480267,3.604143401,6.005996634,0.0,2.757268176,4.2037204,10.12998341,4.333961973,0
RNA155_FPKM,0.0,1.149574672,616.1374261,1.028566811,1.132914169,2.634980146,2.949851987,155.413645,0.898518134,3.257128236,2.233459362,7.97594271,0.691779448,7.688958459,0.977138471,9.417378139,5.64121179,0
RNA165_FPKM,3.064694257,1.291506909,348.2548381,4.623502314,7.638132109,1.973538648,6.629927847,113.6741331,1.009453676,10.24755976,6.274409225,14.34131028,0.0,12.96057085,3.294546326,2.116204092,8.150462078,0
RNA174_FPKM,5.597896632,1.180168325,388.0035188,1.05594008,6.977088555,1.803403283,7.570891142,102.9011945,2.767291245,6.018112072,6.877415862,12.28247067,0.710189789,5.262389909,2.006286153,2.900654679,11.58175958,1
RNA179_FPKM,3.819651947,1.207956871,207.744139,3.242410549,23.80577885,0.92293334,4.649494372,79.2323682,1.888300396,2.737417229,2.346887636,11.73292386,0.0,5.385083073,2.053526681,2.968954238,16.93400763,0
RNA18_FPKM,2.869705829,4.837578485,0.967822358,0.0,23.84036543,0.924324724,0.0,94.82696479,0.0,9.595833972,1.175212863,11.75000078,0.0,1.348604925,1.028311255,0.0,16.1105187,1
RNA185_FPKM,0.910583006,1.151619684,439.4222831,2.060793119,4.539718176,1.759778394,5.910199134,130.8137709,0.900116535,4.567367125,2.237432529,7.989943578,0.693010075,7.702636577,0.978876732,6.60342235,12.91624022,1
RNA2_FPKM,0.929240665,0.0,432.6567161,3.155672954,6.951627377,0.897917946,3.01729146,93.11501155,0.918559737,4.663866994,3.426159207,12.23717118,0.0,2.621581104,0.998933714,0.962827677,9.066081247,0
RNA201_FPKM,0.756671318,0.956966667,542.6412858,1.711563467,1.88520034,2.192725357,1.227806289,143.8882159,0.747973946,2.168552418,3.71751843,5.310740615,0.0,2.132439729,2.43940696,3.135256507,6.706509317,1
