,hsa-miR-148b-5p,hsa-miR-17-5p,hsa-miR-516b-5p,hsa-miR-148a-3p,hsa-miR-3184-5p,hsa-miR-585-3p,hsa-miR-5680,hsa-let-7c-5p,hsa-miR-550a-3p,hsa-miR-486-3p,hsa-miR-6513-5p,hsa-miR-181d-3p,hsa-miR-6764-3p,hsa-miR-499a-3p,hsa-miR-3663-5p,hsa-miR-196a-5p,Diagnosis
sample_58,232.5,1142.0,2.5,15248.0,3994.37,136.0,4.0,144728.08,11.33,1220.58,1.0,14.0,1.0,6.75,1.0,35.16,1
sample_59,306.0,1453.0,4.0,17546.0,2499.08,102.0,3.0,162802.5,41.16,1471.16,3.0,9.0,6.5,11.25,20.0,22.0,1
sample_60,455.5,2074.0,1.0,31738.0,1059.67,63.5,10.0,108961.92,5.33,497.0,7.0,18.0,9.5,12.5,19.5,14.0,1
sample_61,394.0,2078.0,2.0,28136.5,937.25,142.5,11.0,86326.17,13.33,452.34,3.0,22.33,9.0,12.75,23.0,115.0,1
sample_62,742.5,2859.0,7.0,46741.25,4637.21,213.0,11.0,227063.58,56.84,1488.0,5.0,21.0,6.83,20.0,9.0,39.5,1
sample_63,517.5,2107.75,0.0,50491.5,1818.33,144.0,25.0,161597.08,20.84,1177.24,6.0,20.0,10.0,4.25,11.0,274.0,1
sample_64,286.0,1846.33,1.0,17751.0,737.29,63.0,11.0,90085.92,12.67,1205.34,0.0,4.0,2.0,5.75,18.0,74.5,1
sample_65,599.0,2698.25,3.0,41589.0,1268.0,92.5,15.0,138807.33,11.33,810.0,7.0,33.0,13.5,5.0,22.0,59.5,1
sample_66,505.5,2369.5,1.0,41668.5,776.75,82.0,15.0,126066.58,11.16,408.42,3.0,8.0,13.0,10.25,11.0,32.5,1
sample_67,322.0,1028.0,4.0,25302.0,4583.58,283.5,14.0,198004.92,49.0,2383.08,4.0,32.0,7.0,5.0,8.0,53.5,1
sample_68,390.0,1271.83,1.0,30948.5,920.75,106.0,13.0,92468.92,6.67,367.34,3.0,17.0,4.5,4.5,11.0,99.0,1
sample_69,377.0,1984.83,3.0,36499.5,975.42,112.5,10.0,133068.5,13.33,652.08,4.0,27.0,4.0,1.0,19.0,21.5,1
sample_70,508.0,2366.67,1.0,33780.83,918.5,68.0,24.0,90272.17,16.67,713.42,2.0,22.5,15.33,2.0,0.0,11.0,1
sample_71,410.0,1426.0,1.0,34807.5,1420.25,103.0,4.0,102655.67,3.84,791.66,0.0,9.0,2.0,6.5,5.0,17.0,1
sample_72,353.0,1733.5,1.0,23542.5,1038.42,119.0,5.0,98242.42,17.67,443.74,3.0,18.0,3.0,15.0,31.0,89.0,1
sample_73,413.0,1746.0,4.0,55371.0,1079.75,126.0,36.0,173094.58,13.67,945.5,5.0,21.0,14.0,7.0,15.0,615.5,1
sample_74,715.5,2377.0,2.0,48203.33,1106.75,75.0,10.0,145027.83,14.0,510.5,5.0,11.0,9.5,23.25,8.0,36.0,1
sample_75,376.0,1329.0,5.0,24190.5,6030.67,151.0,8.0,184399.75,50.0,955.34,5.0,17.0,18.0,8.5,20.0,170.0,1
sample_76,380.0,1671.0,6.0,28540.0,4867.87,141.0,8.0,207626.25,33.16,1553.66,4.0,18.0,9.33,2.75,23.0,95.0,1
sample_77,409.0,1433.0,0.0,15384.5,1020.5,76.0,8.0,81279.67,13.84,524.66,5.0,11.0,2.0,9.25,10.0,17.0,1
sample_78,139.0,530.5,2.0,30979.5,2139.08,110.5,4.0,274732.58,6.67,1038.42,1.0,11.0,1.5,0.5,11.0,66.0,1
sample_79,420.0,1726.5,3.0,32316.5,1170.0,44.5,7.0,122454.17,9.33,686.5,4.0,18.0,10.25,0.5,6.0,20.5,1
sample_80,225.5,664.0,6.0,16976.0,2815.29,38.0,5.0,152380.0,14.49,2064.34,4.0,21.0,4.0,0.5,7.0,14.0,1
