,NPM1P29,DGKZP1,RPL15P5,HNRNPLP1,AC027575.1,ETF1P2,AC114878.2,AC006483.1,H3P6,AC021074.1,AL663070.1,DNAJB6P1,AL162430.1,Diagnosis
R_JS009_FPKM,1.254280839,63.29416726,2.731023156,0.122013447,0.133339778,0.86593782,2.415242238,1.462495081,1600.637556,1.301809367,2.020618585,13.20346746,5.051655083,1
R_JS010_FPKM,1.513575528,46.45815322,0.423977847,0.134969848,0.09831594,0.638594834,2.59080145,0.215823635,2306.441537,0.426657012,0.186257854,26.29915253,1.474659709,1
R_JS011_FPKM,2.9350225,62.88510431,0.774411527,0.365141006,0.079807302,1.24409726,3.811688762,0.350208722,1633.223823,0.25980119,1.209634422,15.80765029,0.62997316,1
R_JS012_FPKM,1.675855429,73.71348094,1.980551518,0.448237666,0.122461728,0.53026855,2.554778074,0.537383975,1475.836522,0.79716201,1.044007349,22.44317945,2.51346877,1
R_JS013_FPKM,1.149722467,110.2991062,3.519873623,0.483282091,0.024004456,1.039531735,1.63416369,0.842686781,1404.615537,1.458494693,1.819217044,16.53112726,2.198227925,1
R_JS014_FPKM,2.158241747,64.76320308,1.43193268,0.273444934,0.016594248,0.460096402,2.734217853,0.291418887,1520.786994,0.432294368,1.132313111,14.32132259,3.302553866,1
R_JS015_FPKM,1.947583739,66.45158806,2.688977727,0.14885017,0.135563588,0.657381144,2.381222552,3.569075171,1506.673982,1.52946518,2.362591465,12.54598573,6.077707478,1
R_JS016_FPKM,3.225233586,74.05663115,2.307584,0.37308402,0.12741152,0.441361218,2.797650783,0.447283637,1744.815569,1.437491143,2.413697331,19.90482026,2.815934242,1
R_JS017_FPKM,2.767682779,51.56931165,0.842148306,0.255301344,0.083690041,0.19328621,1.408997753,0.0,1876.188444,0.363185689,0.951392065,27.16355016,1.057075619,1
R_JS018_FPKM,1.814580728,73.11619607,2.287454199,0.342628374,0.156002165,1.405129955,2.740688224,0.821541835,1417.720767,1.489452032,1.300445705,15.24834791,4.236486854,1
R_JS019_FPKM,2.074871201,57.10719712,2.615575471,0.444026938,0.060639372,0.682831067,3.396120991,0.532192824,1817.307162,0.921250398,2.183156749,21.21919543,3.255557551,1
R_JS020_FPKM,0.996021544,115.0873197,3.487811737,0.23681418,0.129398648,0.728413231,2.770494478,1.135648833,1148.155521,1.544365815,1.716072435,16.16883609,4.494523916,1
R_JS021_FPKM,1.175768766,54.61445947,2.34673348,0.262102207,0.028633326,0.793716045,1.383616952,1.256918249,1914.271608,0.745768025,1.410755955,21.20662814,2.260851019,1
R_JS022_FPKM,3.810793062,66.8954734,1.784228195,0.34950742,0.031823949,1.212752311,2.376216179,0.837895102,1548.430176,0.6906639,1.688361452,21.56293431,3.517318194,1
R_JS023_FPKM,1.314980877,115.3424809,3.825349725,0.324672039,0.08871803,0.409695444,2.532205382,1.556973579,982.0176474,1.283129884,2.464787312,11.60361374,3.174294554,1
R_JS024_FPKM,2.676257234,105.3496013,2.530325184,0.656216551,0.0,0.846863801,2.075777926,0.858174787,1391.743787,1.2731573,2.099697801,15.56760621,4.014072405,1
R_JS025_FPKM,2.78776652,118.9595293,3.644424388,0.497147384,0.060372639,0.679588492,1.789429669,1.854231897,1077.430301,0.785865346,3.087691746,10.39169148,4.002583337,1
R_JS026_FPKM,1.087371911,96.24692002,3.987566312,0.423077432,0.028903966,0.600555912,0.57103218,0.507096567,981.1018382,1.253965958,1.970758175,16.3673913,2.189701741,1
R_JS027_FPKM,0.542571444,107.7133466,0.488531581,0.37320128,0.0,0.549413454,1.691614895,0.198767132,1411.281013,0.0,0.171710693,13.25376785,0.286184488,1
R_JS028_FPKM,1.22414685,103.1289274,3.798678879,0.352625009,0.137644494,0.524469866,3.143179318,1.691022807,1549.688319,1.314074578,1.668744568,19.05709222,3.128964015,1
R_JS029_FPKM,0.947112913,89.34032516,3.223627349,0.151994928,0.110754603,0.383613002,1.459077726,1.45779161,1372.654359,1.441790075,1.363691112,13.01710478,2.010583593,1
R_JS030_FPKM,1.696609799,85.21986643,1.509735996,0.427102826,0.0,0.656895963,1.921770464,1.536137402,1619.159026,2.405447084,1.879141612,17.49667886,2.487045226,1
R_JS031_FPKM,2.667841556,66.14336573,2.662462387,0.178396361,0.064985545,0.281392326,2.996808684,1.140672791,1694.693678,0.846044037,1.846838561,16.96236417,6.156021332,1
R_JS032_FPKM,1.026234981,94.25427164,4.420210414,0.045734639,0.024990059,0.303096138,1.043034404,0.877663008,1885.123387,0.976405586,3.125871711,16.28935842,2.368109238,1
R_JS033_FPKM,1.168572529,88.07110505,4.553127327,0.397802359,0.15526512,0.591654313,2.25027276,1.635304972,1305.526103,1.886712431,2.353295759,12.07147956,4.804561204,1
R_JS034_FPKM,2.289910004,66.4396763,1.255106537,0.319565681,0.174615248,0.756123743,1.789374201,0.510918174,1497.19766,0.884086543,1.102762571,20.14825567,2.113560613,1
R_JS035_FPKM,1.354759774,89.71345635,3.293586649,0.103513506,0.226307081,0.587956069,3.602607646,0.993075959,1429.696347,0.859298656,0.964565271,14.87074765,3.4833483,1
R_JS036_FPKM,3.201300196,98.82644042,1.233035929,0.28545435,0.077988165,0.405183834,1.712371766,0.456301362,960.0731759,0.676883063,1.181869035,17.89963538,2.051863521,1
R_JS037_FPKM,2.143039135,88.22471799,6.967149644,0.603423029,0.065936199,1.313504525,2.316819054,1.736372172,1171.510369,2.289450957,2.373600587,13.30525892,5.934121323,1
R_JS038_FPKM,0.640857942,83.94348809,2.962165463,0.628547435,0.062444961,0.432626252,0.959835462,0.822058989,1428.812668,0.677473575,1.419610834,16.41351792,2.661675429,1
R_JS039_FPKM,1.255272201,107.0022372,1.338860404,0.154946608,0.056443359,0.439977409,1.115594199,0.0,1107.379563,0.734959419,0.641695603,16.82370474,1.60414752,1
R_JS040_FPKM,1.102787786,96.16105317,4.928717369,0.214513519,0.087909936,0.507592935,2.059183983,1.800234457,1174.617089,2.543450826,2.775952797,10.08979636,3.053488921,1
R_JS041_FPKM,1.761712824,76.9501448,3.527125383,0.498971766,0.090892806,0.419734412,2.195159028,0.797707788,1116.623469,1.051656836,2.066087228,15.70105601,5.83458582,1
