,CSN1S2AP,PFN5P,SMBD1P,OFCC1,AC123767.1,AC008163.1,LINC00301,ADAM5,CYMP,SULT1D1P,AP002008.2,AC231760.1,GLYCAM1,AL359273.2,SSPOP,NRADDP,AL109809.1,MFSD13B,LINC01529,TP73-AS1,PRORSD1P,TEX21P,ZNF271P,LDC1P,TRY2P,CYP2T1P,AC113208.3,GGNBP1,MROH3P,SLC26A10,C22orf46,TMEM198B,UOX,CRYZL2P,CDIPTOSP,AL590556.2,FMO6P,CETN4P,SLC66A1L,OACYLP,AC104162.1,AHSA2P,SLC22A20P,MBL1P,CUTALP,GUCY1B2,EGFEM1P,MGAT4EP,Diagnosis
RNA32_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139039727,1.526214805,4.703967065,0.371049301,0.201551727,0.214198375,1.391883873,0.038816394,1.167638185,0.0,0.0,1.021062545,0.751028186,0.099395062,0.107543636,0.0,0.290956499,0.928357195,0.0,0.734795838,0.0,0.0,0.0,0.0,0.0,0.0,0.052496406,5.165975258,0.104111027,0.0,2.889087982,0.019332723,0.0,0.0,1
RNA328_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.127144957,1.144880646,1.731358883,0.042406226,0.170223443,0.209197657,1.95518093,0.26403401,1.06261731,0.0,0.0,1.335094129,0.311603914,0.07955277,0.06454119,0.0,0.352966925,1.292799291,0.0,0.222109398,0.0,0.0,0.0,0.0,0.0,0.0,0.04200321,8.497310739,0.0,0.0,4.09255795,0.030936839,0.0,0.0,0
RNA331_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111512955,1.33879726,0.099034124,0.0,0.204302716,0.236528577,2.214005607,0.177077696,1.400197669,0.0,0.0,1.537953459,0.078089222,0.093025314,0.018872892,0.009708083,0.704763629,1.829190176,0.314845543,0.148960433,0.0,0.208731943,0.0,0.089906503,0.0,0.0,0.018429469,8.819401776,0.073061643,0.0,0.375457613,0.0,0.0,0.0,0
RNA334_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038598403,1.655048856,0.163237774,0.03677455,0.054400682,0.175987345,2.683330425,0.202079634,1.558410862,0.0,0.0,0.933334029,0.057912407,0.0460006,0.0,0.0,0.710020226,1.926727995,0.018309198,0.27198104,0.0,0.034391354,0.0,0.040417505,0.021943697,0.0,0.0,6.024707886,0.084301597,0.0,0.297054962,0.080512096,0.0,0.0,0
RNA335_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061205334,1.253539261,0.127912885,0.096077071,0.213114179,0.195558688,1.990346316,0.228696225,1.529231785,0.013496072,0.140047074,0.496554058,0.075638556,0.150166086,0.0,0.0,0.884669555,1.399614258,0.0,0.355169284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.598738923,0.01573325,0.085543704,2.152933201,0.052577841,0.0,0.022856085,1
RNA336_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068992074,1.430681405,0.816939265,0.041835851,0.097226525,0.164116468,1.342920056,0.045973891,1.048355809,0.0,0.0,1.749692582,0.329364214,0.026152635,0.021217642,0.0,0.440843634,1.310681282,0.104164638,0.244907285,0.055820809,0.039124655,0.0,0.018384647,0.0,0.0,0.0,5.388484678,0.150666335,0.037249197,2.393292599,0.0,0.008804583,0.0,0
RNA35_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.204080684,0.674670405,1.716092496,0.039467142,0.141719072,0.180581949,2.026511815,0.332392979,1.198909856,0.055411135,0.0,0.778747064,0.165684719,0.024671896,0.060048953,0.0,0.740711979,1.947274668,0.039299553,0.729422736,0.0,0.0,0.0,0.017343724,0.0,0.0,0.0,8.773367397,0.271290964,0.0,5.374807245,0.0,0.0,0.0,0
RNA358_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217839133,0.713256263,1.829066338,0.052859078,0.078148898,0.259096701,1.72694022,0.077405714,1.093788662,0.0,0.0,1.142170448,0.388244945,0.132139111,0.026808226,0.0,0.655034307,1.69097065,0.0,0.50467032,0.0,0.049433514,0.0,0.0,0.0,0.0,0.0,4.281077622,0.155690556,0.0,2.624414727,0.0,0.0,0.0,0
RNA365_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11093391,0.713509329,1.407442717,0.158610638,0.111674132,0.237188146,1.97425749,0.329104505,1.145321471,0.0,0.0,1.415730884,0.166463528,0.066089779,0.053618661,0.0,0.753532946,1.744926856,0.0,0.390841838,0.0,0.0,0.0,0.023229729,0.0,0.0,0.0,6.988775413,0.0,0.0,6.730317274,0.0,0.0,0.0,0
RNA368_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.127998449,1.097651186,1.226941443,0.0,0.060128182,0.137741409,1.423703094,0.163800483,1.03356252,0.0,0.0,1.28004103,0.426785298,0.07625688,0.082495671,0.0,0.252008057,1.116227349,0.040483627,0.438433301,0.0,0.0,0.0,0.0,0.0,0.0,0.020143767,4.913948054,0.079862815,0.0,4.903366586,0.0,0.0,0.019342102,0
