,IGHV3-33,IGHV3OR16-13,IGKV1-12,IGLV2-8,IGLV2-11,IGHV1-3,IGHV1OR15-1,IGHV2-70,IGKV2-40,IGLV10-54,IGHV4-34,IGHV3-7,IGLV6-57,IGKV1-33,IGKV1-39,IGKV4-1,Diagnosis
RNA431_FPKM,36.32991488,1.874156221,3.87876736,81.26207174,47.96694566,10.04980021,14.05690893,1.232084167,0.176111034,0.770016255,1.378329097,43.59487497,25.92735142,2.655226677,18.83983928,174.831802,1
RNA44_FPKM,5.037920702,0.683560911,0.0,4.666457497,9.449221852,2.035983818,11.39089445,0.224594696,0.0,1.797102393,1.809521767,4.114504694,2.506001443,0.0,1.818614841,21.52483871,1
RNA442_FPKM,9.774598663,0.450307748,1.997155463,12.91491231,14.70535447,9.458167388,32.20060139,2.886537782,0.126963766,1.110150663,2.980847903,7.763964725,4.503500705,0.562990491,6.391047631,23.49187875,0
RNA454_FPKM,25.82192921,0.557897637,1.237394871,37.9097369,18.71302125,12.46699309,6.975159021,2.475862822,0.0,12.24236795,1.969840305,18.09456154,11.43912479,2.092573862,9.403412276,18.48949313,0
RNA457_FPKM,5.208591473,0.0,0.578502385,20.82016775,23.02463912,3.351714249,3.587370312,0.643139523,0.0,2.41177321,0.143963521,7.496428209,5.707249223,0.815311434,5.495772654,23.11016903,0
RNA466_FPKM,18.46775785,0.230130764,0.816250346,8.012135659,18.88374959,13.98222999,7.592788282,3.630021096,0.0,0.340267428,2.842688083,12.4662989,7.132744887,0.575217844,3.265194855,29.28761142,0
RNA471_FPKM,3.651074111,0.153675695,0.545337784,11.23039724,9.902890287,3.709159243,13.52731077,1.667278752,0.0,0.378899383,0.949603388,13.1239964,4.15047564,0.691771604,3.408463578,11.80065733,0
RNA476_FPKM,27.95998072,0.254842919,0.903887078,22.43933506,24.28133133,10.70058659,10.19061837,3.014385551,0.0,1.004880048,1.57383641,24.05131883,4.585623345,0.509556738,3.163490271,33.09728629,0
RNA483_FPKM,5.712204361,0.565423135,0.501493384,12.22680553,4.990451615,4.042867513,4.712530787,1.486901925,0.0,0.464687881,2.994359835,3.249623956,5.277953922,0.377032673,1.671793469,11.25489338,0
RNA488_FPKM,5.86759114,0.204728726,0.544566553,10.48189464,11.01895216,5.304776132,2.865605286,2.422040274,0.0,0.403640682,2.167726045,4.368951358,7.164112695,0.614086698,2.178619141,13.8331912,0
RNA499_FPKM,2.305469528,0.433044006,1.536326977,23.80214446,12.61151354,7.15957412,13.64099355,4.696954963,0.122156807,0.320299854,4.394950094,10.84280509,9.743597491,1.515654022,5.37714442,36.36967983,0
RNA50_FPKM,12.41003134,1.262738765,2.799817362,28.01952888,9.657384405,7.522884795,7.155220141,1.037548706,0.118697041,0.31122031,0.371521737,10.71125264,9.680473025,0.841750961,5.412940385,34.93456688,1
RNA504_FPKM,6.065809436,0.112261012,0.597114814,31.72002982,13.56707344,8.22324002,9.089381503,2.102296836,0.189848833,2.102296836,2.079598748,11.60715358,2.693158268,0.729420073,4.478704442,24.8861828,0
RNA519_FPKM,2.925194299,0.0,0.633470066,2.601257657,3.572162547,3.191794285,6.905106729,1.408711811,0.0,0.0,2.311365476,2.541052248,1.428665236,0.0,0.422377578,19.5288611,0
RNA52_FPKM,7.123984101,0.0,1.259489885,0.969587958,9.869179632,3.489902986,24.31908812,0.0,0.50053781,0.0,1.566490545,4.954661072,0.0,6.212928846,18.26318464,19.91647815,0
RNA521_FPKM,49.58572721,0.0,1.562543875,23.84009679,14.98268054,5.725391384,13.45389427,2.526813731,0.0,0.236905184,9.470209974,21.03748462,7.847986736,23.38405242,5.256043931,34.25914941,0
RNA528_FPKM,9.085180804,0.0,0.43718198,9.256987626,23.7115196,4.626172026,9.860052988,1.944556559,0.0,0.0,0.217596495,5.059101336,3.943976567,0.73948166,1.749123739,10.99823291,0
RNA53_FPKM,5.710594196,0.178780134,0.951397796,0.976547577,3.786563228,2.875870806,4.290723205,1.410265634,0.0,0.440708011,0.157773468,1.614426183,2.324141736,0.178780134,1.902795592,9.618902873,0
RNA535_FPKM,1.109430088,0.225686682,1.601756697,18.65097644,20.52035426,10.69258721,33.63705917,3.116378585,0.0,1.335542945,2.988327331,19.45924768,10.61044637,1.467416621,6.207058419,43.54835351,1
RNA58_FPKM,3.566245528,0.725821676,1.072794193,10.40580391,4.910059779,2.161883994,9.91828677,0.715684502,0.13638741,0.715573474,1.921414148,5.957750078,1.693283643,0.362910838,2.145588386,11.90427851,0
RNA6_FPKM,7.76921845,0.462660481,1.23127298,12.32191103,6.125360083,3.308181244,5.552683817,2.965665554,0.0,0.342211345,1.633414489,4.938385427,7.635035003,1.041175593,5.130154675,22.01202024,0
RNA60_FPKM,2.129730047,0.236302549,1.886925471,8.069909866,14.60263347,0.0,9.45533219,1.165501188,0.0,1.165378684,2.086027844,7.18000035,5.200395433,1.063734189,4.193241175,29.62407563,0
RNA62_FPKM,0.197177695,0.240746704,0.426876438,6.573363449,2.761263056,3.871601149,4.332244912,0.0,0.0,0.0,1.274402045,2.173344301,1.203334933,0.0,1.280806075,11.37012977,0
RNA63_FPKM,0.344095238,0.209973997,0.0,2.437854901,3.336229513,2.627709153,13.44174857,0.0,0.0,0.931951963,0.556064671,1.551808384,1.26020322,0.315050805,1.30395115,6.339117921,0
RNA64_FPKM,6.280618598,2.130050688,0.755686324,2.763373496,3.195706297,0.761425714,8.307529984,0.0,0.0,0.315099817,1.691890511,5.770546854,4.26032291,0.639015206,8.312746055,14.67514569,0
RNA66_FPKM,1.850682683,0.205472598,0.546549901,2.805077019,5.619672638,0.367076035,18.69295222,0.810219798,0.0,0.303808465,0.0,2.866739437,2.670366204,1.335183102,2.550681149,9.5693656,0
RNA67_FPKM,4.239522725,0.235370091,0.626040435,4.819601093,9.759081705,0.0,7.529213076,0.928071886,0.0,0.464035943,5.190995969,2.897256897,3.999976629,0.941085889,2.50416174,11.57842967,0
RNA69_FPKM,18.61200389,0.441181214,2.348195444,14.91338443,40.4982108,8.675375245,7.501213607,0.652640912,0.0,1.957922737,0.973456038,13.58385158,4.853673135,1.213418284,6.261787525,28.51786434,0
RNA7_FPKM,5.551903077,0.467546172,0.829175689,3.670674719,9.901492828,1.044485216,4.441152706,0.921821017,0.131763678,3.572399932,1.856458961,5.756637881,5.609910951,0.934985158,3.939012325,15.79690344,0
RNA72_FPKM,7.620383457,1.298308283,0.767676422,13.14870893,4.391970145,5.027595028,25.74877555,0.853450324,0.0,2.240252025,0.572779945,6.217011251,2.596616567,0.973675357,2.878687502,18.03046134,0
RNA74_FPKM,16.88856517,0.0,1.255107056,22.6371874,15.87811388,13.91103466,18.8007973,0.0,0.342007532,2.990066996,5.352219924,11.11913807,7.277626689,1.819406672,7.530642338,31.834471,0
RNA75_FPKM,17.9677116,0.0,1.144548313,5.790163017,5.043470122,4.118793908,12.90473683,1.272430806,0.0,1.817772224,1.138825572,6.507713858,2.027940896,0.737388105,6.376844349,17.53916927,0
