,CSN1S2AP,PFN5P,SMBD1P,OFCC1,AC123767.1,AC008163.1,LINC00301,ADAM5,CYMP,SULT1D1P,AP002008.2,AC231760.1,GLYCAM1,AL359273.2,SSPOP,NRADDP,AL109809.1,MFSD13B,LINC01529,TP73-AS1,PRORSD1P,TEX21P,ZNF271P,LDC1P,TRY2P,CYP2T1P,AC113208.3,GGNBP1,MROH3P,SLC26A10,C22orf46,Diagnosis
RNA336_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068992074,1.430681405,0.816939265,0.041835851,0.097226525,0.164116468,1.342920056,0.045973891,1.048355809,0.0,0.0,1.749692582,0.329364214,0.026152635,0.021217642,0.0,0.440843634,0
RNA35_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.204080684,0.674670405,1.716092496,0.039467142,0.141719072,0.180581949,2.026511815,0.332392979,1.198909856,0.055411135,0.0,0.778747064,0.165684719,0.024671896,0.060048953,0.0,0.740711979,0
RNA358_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217839133,0.713256263,1.829066338,0.052859078,0.078148898,0.259096701,1.72694022,0.077405714,1.093788662,0.0,0.0,1.142170448,0.388244945,0.132139111,0.026808226,0.0,0.655034307,0
RNA365_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11093391,0.713509329,1.407442717,0.158610638,0.111674132,0.237188146,1.97425749,0.329104505,1.145321471,0.0,0.0,1.415730884,0.166463528,0.066089779,0.053618661,0.0,0.753532946,0
RNA368_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.127998449,1.097651186,1.226941443,0.0,0.060128182,0.137741409,1.423703094,0.163800483,1.03356252,0.0,0.0,1.28004103,0.426785298,0.07625688,0.082495671,0.0,0.252008057,0
RNA37_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.284459908,0.95931034,2.61137049,0.127922456,0.126124789,0.220486621,1.493127753,0.296723228,0.98072354,0.011969197,0.0,0.781436591,0.537117721,0.02664652,0.043259346,0.0,0.48328423,0
RNA379_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0800096,0.85387087,1.473775467,0.059328532,0.100231999,0.151559497,1.765083097,0.152032024,1.184481745,0.049959567,0.0,1.226116228,0.560223861,0.037087746,0.060145861,0.0,0.651131945,1
RNA38_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133769645,1.213430498,2.006379376,0.079337067,0.016758962,0.153212885,0.833231392,0.072626186,0.936150496,0.0,0.0,0.540430413,0.520369161,0.099191162,0.020111185,0.0,0.403839702,0
RNA383_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.190844334,0.932019797,1.761859769,0.043143827,0.091169873,0.192364282,1.586661702,0.205474101,0.955967685,0.0,0.0,1.338343649,0.407687731,0.188867317,0.0,0.0,0.565528316,0
RNA385_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.201282299,1.322742557,0.903193852,0.056534069,0.095548522,0.164642883,1.682668289,0.27952642,1.002569697,0.015874557,0.0,1.620463903,0.65276504,0.017679019,0.02867205,0.036875339,0.613215097,1
RNA386_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.147936537,0.930307169,0.458792988,0.047016553,0.119131306,0.258344437,2.742438421,0.327006421,1.234375041,0.079186606,0.0,1.104060334,0.172632857,0.058753683,0.071511992,0.0,0.911237987,0
RNA39_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.168101572,1.028888015,2.849167604,0.13195594,0.037159076,0.209088011,1.539834087,0.193268264,1.176414569,0.0,0.0,0.702563255,0.207710202,0.027505654,0.0,0.0,0.43999481,1
RNA392_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175645243,1.274058941,1.256581311,0.097643765,0.06188795,0.22632185,1.709461187,0.214555141,0.998729591,0.0,0.0,1.514035712,0.38432991,0.091573955,0.049521412,0.0,0.695965176,0
RNA409_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.177584126,0.724894942,2.481314417,0.0,0.060062691,0.226708708,1.852808552,0.173542293,0.785818043,0.013311185,0.0,1.068747679,0.198959669,0.148141431,0.0,0.0,0.641941543,0
RNA41_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.116936511,1.547890026,0.639057702,0.0,0.0,0.141460507,1.424049358,0.058597688,0.837709348,0.0,0.0,0.451112107,0.335915729,0.0,0.0,0.0,0.506504207,0
RNA418_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.229731093,0.717874551,2.422169831,0.04199862,0.115314578,0.220839197,1.298646243,0.276786849,1.102863494,0.035367676,0.0,1.89393389,0.616984491,0.026254386,0.021300192,0.0,0.620840242,0
RNA431_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088104453,1.851043441,1.87780089,0.058766262,0.124159811,0.136225782,1.30334874,0.107618903,0.967523624,0.0,0.0,1.049403005,0.462655921,0.11024346,0.0,0.0,0.452734365,1
RNA44_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102806433,0.77138845,1.027125744,0.0,0.217323142,0.201246139,1.500814013,0.125575153,1.120682967,0.0,0.0,0.886169306,0.134968309,0.080405532,0.0,0.0,0.728671032,1
RNA442_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.130194372,1.639320935,0.112789949,0.0,0.035797463,0.187585335,1.705962831,0.15515672,1.697460778,0.023792641,0.0,0.796280039,0.200108687,0.185414836,0.042973408,0.0,0.59644317,0
RNA454_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.149510949,1.322630263,1.164726175,0.052513378,0.088721554,0.25738306,1.133479103,0.038441902,0.927704435,0.014745562,0.0,0.813966255,0.192845042,0.065624081,0.0266329,0.0,0.618168922,0
RNA457_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.156367688,1.104287526,2.042146862,0.030695847,0.103701812,0.159543318,0.895209395,0.078655345,1.088099369,0.0,0.0,0.980264457,0.370329267,0.057549944,0.031122459,0.0,0.646515408,0
RNA466_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31148655,1.246531465,3.073633283,0.0,0.100601706,0.204536228,0.353678144,0.142684254,0.875085202,0.024318563,0.0,0.976350027,0.272637738,0.054139393,0.021961654,0.0,0.498283234,0
RNA471_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.208102812,1.014988592,2.104799843,0.086778741,0.097756756,0.213997643,1.890328874,0.201244323,1.172772546,0.024367148,0.0,1.58997086,0.531246651,0.108495113,0.029345606,0.0,0.59921911,0
RNA476_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.114964612,0.862659061,1.318748637,0.0,0.081014989,0.237867931,1.454568681,0.087764096,1.560739544,0.040381306,0.0,0.945934445,0.377325184,0.089899203,0.072935255,0.0,1.044031679,0
RNA483_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.146201023,1.755253724,2.455111271,0.106393586,0.067429608,0.16124388,1.552258432,0.246784187,0.910093285,0.0,0.0,1.099827015,0.148898151,0.066509286,0.035972671,0.0,0.493003393,0
RNA488_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.294422644,0.797046217,1.059567196,0.11553171,0.227802875,0.219724335,1.730515639,0.112827144,0.862396168,0.0,0.0,1.429538257,0.505281075,0.02408172,0.0,0.0,0.641054664,0
RNA499_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.177099204,1.503002804,1.446211298,0.162968587,0.086062681,0.213060765,1.783035125,0.104443444,1.094717089,0.0,0.0,0.823096764,0.213796551,0.050937865,0.061999107,0.0,0.486949964,0
