,ENSG00000104129,ENSG00000108688,ENSG00000125703,ENSG00000128487,ENSG00000130300,ENSG00000130669,ENSG00000133519,ENSG00000151240,ENSG00000152705,ENSG00000154099,ENSG00000160181,ENSG00000161847,ENSG00000161921,ENSG00000169981,ENSG00000170180,ENSG00000173193,ENSG00000185475,ENSG00000186526,ENSG00000188599,ENSG00000196136,ENSG00000196247,ENSG00000197334,ENSG00000197467,ENSG00000197536,ENSG00000198074,ENSG00000202169,ENSG00000204310,ENSG00000204711,ENSG00000205592,ENSG00000226314,ENSG00000226469,ENSG00000227536,ENSG00000228429,ENSG00000229357,ENSG00000230146,ENSG00000230306,ENSG00000230480,ENSG00000230606,ENSG00000232874,ENSG00000233154,ENSG00000233955,ENSG00000234265,ENSG00000234498,ENSG00000235924,ENSG00000235964,ENSG00000236662,ENSG00000237032,ENSG00000237317,ENSG00000237674,ENSG00000238020,ENSG00000239238,ENSG00000239808,ENSG00000240641,ENSG00000242308,ENSG00000244625,ENSG00000248408,ENSG00000251171,ENSG00000252062,ENSG00000253119,ENSG00000253974,ENSG00000254314,ENSG00000255945,ENSG00000259721,ENSG00000261150,ENSG00000261997,ENSG00000265684,ENSG00000268020,ENSG00000270718,ENSG00000272839,ENSG00000273004,ENSG00000273512,ENSG00000274818,ENSG00000275206,ENSG00000275217,ENSG00000276929,ENSG00000278390,ENSG00000279355,ENSG00000280187,ENSG00000280364,ENSG00000282692,Diagnosis
sample_11,838,0,308,1906,1,979,606,2742,45,630,0,519,163,289,1,380,135,2,90,54,295,3,2,250,0,0,817,23,5,132,9,26,0,0,1,0,5,9,2,1,0,0,6,2,0,39,0,0,0,2,0,0,0,0,162,0,0,11,1,175,0,0,0,458,32,4,0,0,1,15,0,3,0,0,0,40,43,129,0,73,0
sample_12,840,0,508,2853,1,1231,694,2726,68,641,0,582,300,419,0,819,257,0,60,67,401,10,4,343,1,4,1369,15,3,305,17,32,0,0,0,1,0,23,3,3,0,0,7,1,0,42,0,0,0,4,0,0,0,1,192,0,0,19,1,340,0,0,1,203,77,6,0,0,0,14,0,2,0,0,0,41,27,349,0,81,0
sample_13,493,0,225,1680,1,691,426,3581,57,616,0,407,185,283,0,303,127,0,79,268,268,11,5,291,0,0,745,8,8,139,10,40,0,0,2,2,2,11,4,0,0,0,6,1,1,14,0,0,0,4,0,0,0,1,116,0,0,11,1,320,0,0,1,84,54,8,0,0,0,6,0,1,0,0,0,27,55,148,0,83,0
sample_14,697,0,299,1984,0,744,594,3410,50,619,0,449,186,208,1,447,134,0,83,243,343,8,0,333,0,1,957,19,2,123,11,18,1,0,2,9,3,12,4,3,0,0,4,0,0,18,0,0,0,4,0,0,0,0,189,0,0,24,2,209,0,0,0,126,19,11,0,0,0,19,0,2,0,0,0,45,50,168,0,58,0
sample_15,664,0,291,1457,1,826,495,2151,35,504,0,371,124,225,0,501,94,0,38,37,292,10,3,354,0,4,881,7,5,128,11,22,0,0,0,1,6,10,7,0,0,0,6,1,0,38,0,0,0,2,0,0,1,1,138,0,0,12,1,150,0,0,0,129,36,8,0,0,0,17,0,2,0,0,0,29,36,168,0,44,0
sample_16,665,0,424,2041,1,927,882,2763,80,477,0,436,162,300,0,506,178,0,92,70,370,7,1,321,0,5,1061,6,3,222,14,19,0,0,0,4,6,23,2,1,0,0,4,0,1,32,0,0,0,3,0,0,0,0,177,0,0,16,0,192,1,0,0,359,60,12,0,0,0,9,0,1,0,0,0,36,19,237,0,24,0
sample_17,679,0,254,1634,0,870,573,2667,57,673,0,396,154,277,3,371,155,0,54,60,299,4,3,258,1,0,1001,9,2,276,18,17,0,0,0,1,2,12,3,0,0,0,10,2,0,19,0,0,0,11,0,0,0,0,132,0,0,2,0,153,0,0,0,147,12,12,0,0,0,5,2,2,0,0,0,15,18,220,0,13,0
sample_18,803,0,385,2526,6,1660,708,4551,79,1193,0,617,418,341,1,486,211,1,126,56,452,5,6,331,0,0,1479,38,1,246,11,31,0,0,1,4,3,21,4,0,0,0,1,0,0,22,0,0,0,4,0,0,0,0,170,0,0,6,0,313,0,0,0,211,82,6,0,0,0,10,0,1,0,0,0,63,94,279,0,27,0
sample_19,829,0,390,2252,0,1122,797,2556,66,308,0,595,172,297,0,380,176,0,59,63,290,4,1,240,0,4,1112,16,4,317,20,26,0,0,0,0,2,12,2,0,0,0,2,1,0,25,0,0,0,3,0,0,0,0,182,0,0,8,0,221,0,0,0,183,12,4,0,0,0,25,0,0,0,0,0,28,24,205,0,48,0
sample_20,681,0,230,1978,2,944,596,2932,53,628,0,511,177,268,0,368,147,0,84,104,324,11,2,374,0,9,859,14,1,230,11,26,0,0,1,1,6,39,0,0,0,0,3,2,0,18,0,0,0,1,0,0,0,0,178,0,0,5,1,210,0,0,1,134,17,12,0,0,0,20,0,4,0,0,0,34,61,235,0,75,0
